# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown destination,Destinazione sconosciuta
Unknown user level,Livello di utente sconosciuto
Unknown role,Ruolo sconosciuto
Unknown role unit,Unità ruolo sconosciuto
View thread,Visualizza il thread
Delete message thread,Elimina il thread del messaggio
View Message,Visualizza il messaggio
Couldn't load thread of message.,Impossibile caricare il thread del messaggio.
Message doesn't require additional work.,Il messaggio non richiede lavoro aggiuntivo.
Error finishing additional work required for message #%s.,Errore terminato il lavoro aggiuntivo richiesto per il messaggio #%s.
You don't have enough rights to access this section.,Non si dispone dei diritti sufficienti per accedere a questa sezione.
Couldn't obtain plugin instance.,Impossibile ottenere un'istanza del plugin.
You don't have rights to access this section.,Non si dispone dei diritti per accedere a questa sezione.
Error loading roles model.,Errore di caricamento del modello dei ruoli.
Error loading messages plugin.,Errore nel caricamento dei messaggi di plugin.
You,Tu
Error initiating parameters for summary listing of messages.,Errore di avvio dei parametri per l'elenco riepilogativo dei messaggi.
Error initiating parameters for message emulation.,Errore di avvio dei parametri per l'emulazione del messaggio.
Couldn't find message details in database.,Impossibile trovare i dettagli del messaggio nel database.
Couldn't load message details from database.,Impossibile caricare i dettagli del messaggio dal database.
Couldn't load account details from database.,Impossibile caricare i dettagli dell'account dal database.
Message body not available yet...,Il corpo del messaggio non è ancora disponibile ...
Couldn't retrieve message data.,Impossibile recuperare i dati del messaggio.
Couldn't load account data of the message.,Impossibile caricare i dati dell'account del messaggio.
Couldn't retrieve message body.,Impossibile recuperare il corpo del messaggio.
Couldn't retrieve user message details.,Impossibile recuperare i dettagli del messaggio dell'utente.
Destination type %s,Tipo di destinazione %s
Type %s,Tipo %s
Importance %s,Importanza %s
Error loading depedencies.,Errore nel caricamento delle dipendenze.
Error initiating parameters for message.,Errore nell'avvio dei parametri per il messaggio.
Invalid parameters when saving message in database.,Durante il salvataggio del messaggio nel database dei parametri non erano validi.
Please provide a subject for this message.,Si prega di fornire un oggetto per questo messaggio.
Invalid account for message sender.,L'account non è valido per il mittente del messaggio.
Invalid destination type.,Tipo di destinazione non è valida.
Invalid message type.,Tipo di messaggio non è valido.
Users ids list not provided for message destination.,L'elenco degli ID degli utenti non è previsto per la destinazione del messaggio.
No users match destination you provided.,Nessun utente corrisponde alla destinazione che è stata fornita.
User list not provided for message destination.,L'elenco degli utenti non è prevista per la destinazione del messaggio.
No message handlers match destination you provided.,Nessun gestore dei messaggi corrisponde con la destinazione che è stata fornita.
User level not provided for message destination.,Il livello dell'utente non è previsto per la destinazione del messaggio.
Role not provided for message destination.,Il ruolo non è previsto per la destinazione del messaggio.
Role unit not provided for message destination.,L'unità di ruolo non è prevista per la destinazione del messaggio.
Error saving message details to database.,Errore durante il salvataggio dei dettagli del messaggio al database.
Error saving message body details to database.,Errore durante il salvataggio  dei dettagli del messaggio nel database.
Error updating message details to database.,Errore durante l'aggiornamento dei dettagli del messaggio al database.
Error completing message flow. Please try again.,Errore durante il completamento del flusso dei messaggi. Si prega di riprovare.
Error obtaining message details from database.,Errore durante l'ootenimento dei dettagli del messaggio dal database.
Sender account details not found.,I dettagli dell'account del mittente non sono stati trovati.
Couldn't find reply message in database.,Impossibile trovare il messaggio di risposta nel database.
Internal message sent,Invio messaggio interno
New internal message,Nuovo messaggio interno
Unknown user for this user message.,Utente sconosciuto per questo messaggio utente.
Unknown message details for this user message.,Dettagli per il  messaggio sconosciuto per questo messaggio utente.
Unknown thread id for this user message.,Id thread sconosciuto per questo messaggio utente.
Error instantiating accounts details model.,Errore nel creare un'istanza del modello per i dettagli degli accounts.
Error altering user_details table.,Errore che altera i dettagli_utente.
Couldn't load summary template from plugin settings.,Impossibile caricare il modello di sintesi dalle impostazioni del plugin.
Failed validating messages summary template file.,Impossibile convalidare il file del modello messaggi di riepilogo.
Failed loading messages model.,Impossibile caricare i messaggi modello.
Error obtaining summary list of messages.,Errore durante l'ottenimento dell'elenco riepilogativo dei messaggi.
Compose message,Componi messaggio
Destination,Destinatario
Comma separated user ids,Separa con la virgola gli ID utente
Comma separated user nicknames or emails,Separa con la virgola il nickname dell'utente o e-mail
Comma separated messaging handlers,Separa con la virgola gli handlers di messaggistica
Message subject...,Oggetto del messaggio...
Destination cannot reply,La destinazione non corrisponde
Tick this checkbox if you want destination not to be able to reply to the message.,Seleziona questa casella di controllo se si desidera far arrivare il messaggioal destinatario.
Body,Corpo
Message body...,Corpo del messaggio...
Send Message,Invia Messaggio
Couldn't get parent plugin object.,Impossibile ottenere l'oggetto del plugin parent.
Messages,Messaggi
Compose,Scrivi
Couldn't load dependencies.,Impossibile caricare le dipendenze.
Error deleting message. Please retry.,Errore di cancallzione del messaggio. Si prega di riprovare.
Reply,Rispondere
Couldn't initialize required parameters for current view.,Impossibile inizializzare i parametri necessari per la visualizzazione corrente.
Load previous messages,Caricare i messaggi precedenti
%s messages,%s messaggi
1 message,1 messaggio
Load next messages,Caricare i prossimi messaggi
Loading previous messages...,Caricamento messaggi precedenti ...
Loading next messages...,Caricamenti messaggi successivi ...
Error loading messages. Please retry.,Errore nel caricamento dei messaggi. Si prega di riprovare.
FROM: %s,DA: %s
TO: %s,A: %s
Role not found in database for message destination.,Il ruolo non è stato trovato nel database per la destinazione del messaggio.
Role unit not found in database for message destination.,L'unità di ruolo non è stata trovata nel database per la destinazione del messaggio.
