# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Test connection,Σύνδεση δοκιμής
zip binary location,τοποθεσία δυαδικού αρχείου zip
Full path (including binary/executable file) to zip application. If only executable name is provided we assume it is included in environment path.,"Πλήρης διαδρομή (συμπεριλαμβανομένου του δυαδικού/εκτελέσιμου αρχείου) προς την εφαρμογή zip. Εάν παρέχεται μόνο το όνομα του εκτελέσιμου, υποθέτουμε ότι περιλαμβάνεται στη διαδρομή περιβάλλοντος."
Couldn't obtain current location details.,Αδυναμία λήψης λεπτομερειών τρέχουσας τοποθεσίας.
At the moment directory doesn't exist. System will try creating it at first run.,Προς το παρόν το φάκελος δεν υπάρχει. Το σύστημα θα προσπαθήσει να το δημιουργήσει στην πρώτη εκτέλεση.
Resolved directory is not writeable.,Ο κατάλογος που επιλύθηκε δεν είναι εγγράψιμος.
Couldn't obtain directory stats.,Αδυναμία λήψης στατιστικών καταλόγου.
"Total space: %s, Free space: %s","Συνολικός χώρος: %s, Διαθέσιμος χώρος: %s"
Couldn't resolve location path.,Αδυναμία επίλυσης διαδρομής τοποθεσίας.
Couldn't resolve backup location.,Αδυναμία επίλυσης της τοποθεσίας αντιγράφου ασφαλείας.
Backup location is not a directory.,Η τοποθεσία αντιγράφων ασφαλείας δεν είναι ένας κατάλογος.
Backup location doesn't exist or is not a directory.,Η τοποθεσία αντιγράφου ασφαλείας δεν υπάρχει ή δεν είναι φάκελος.
Couldn't create full directory structure for backup rule.,Αδυναμία δημιουργίας πλήρους δομής καταλόγου για τον κανόνα αντιγραφής ασφαλείας.
Invalid directory. Cannot obtain stats.,Μη έγκυρος κατάλογος. Δεν είναι δυνατή η λήψη στατιστικών.
Weekly Backup (%s),Εβδομαδιαία Αντίγραφα Ασφαλείας (%s)
Daily Backup,Καθημερινό Αντίγραφο Ασφαλείας
Couldn't un-suspend all backup rules.,Αδυναμία αναστολής όλων των κανόνων αντιγράφων ασφαλείας.
Couldn't suspend all backup rules.,Αδυναμία αναστολής όλων των κανόνων αντιγράφου ασφαλείας.
Backup Results List,Λίστα Αποτελεσμάτων Αντιγράφου Ασφαλείας
backup result,αποτέλεσμα αντιγράφου ασφαλείας
backup results,αποτελέσματα αντιγράφου ασφαλείας
Backup Results,Αποτελέσματα αντιγράφων ασφαλείας
Invalid backup result or backup result not found in database.,Μη έγκυρο αποτέλεσμα αντιγράφου ασφαλείας ή αποτέλεσμα αντιγράφου ασφαλείας που δεν βρέθηκε στη βάση δεδομένων.
Results of rules containing this in title,Αποτελέσματα κανόνων που περιέχουν αυτό στον τίτλο
Rule,Κανόνας
Where,Πού
What,Τι
Required backup results deleted with success.,Τα απαιτούμενα αποτελέσματα αντιγράφου ασφαλείας διαγράφηκαν με επιτυχία.
Deleting selected backup results failed. Please try again.,Η διαγραφή των επιλεγμένων αποτελεσμάτων αντιγράφων ασφαλείας απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected backup results. Backup results which failed deletion are still selected. Please try again.,Αποτυχία διαγραφής όλων των επιλεγμένων αποτελεσμάτων αντιγράφων ασφαλείας. Τα αποτελέσματα αντιγράφων ασφαλείας που απέτυχαν στη διαγραφή παραμένουν επιλεγμένα. Παρακαλώ προσπαθήστε ξανά.
Backup result deleted with success.,Το αποτέλεσμα αντιγράφου ασφαλείας διαγράφηκε με επιτυχία.
Deleting backup result failed. Please try again.,Η διαγραφή του αντιγράφου ασφαλείας απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Cannot delete backup result. Backup result not found in database.,Δεν είναι δυνατή η διαγραφή του αποτελέσματος αντιγράφου ασφαλείας. Το αποτέλεσμα αντιγράφου ασφαλείας δεν βρέθηκε στη βάση δεδομένων.
%s bytes,%s bytes
"Total: %s, Free: %s","Σύνολο: %s, Δωρεάν: %s"
View files,Προβολή αρχείων
Delete backup result,Διαγραφή αποτελέσματος αντιγράφου ασφαλείας
Are you sure you want to DELETE this backup result?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ αυτό το αποτέλεσμα αντιγράφου ασφαλείας;
Please select backup results you want to delete first.,Παρακαλώ επιλέξτε πρώτα τα αποτελέσματα αντιγράφου ασφαλείας που θέλετε να διαγράώσετε.
Are you sure you want to DELETE %s backup results?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ τα αποτελέσματα αντιγράφου ασφαλείας %s;
Backup Result Files,Αντίγραφα Ασφαλείας Αρχείων Αποτελεσμάτων
Couldn't load backup plugin.,Αδυναμία φόρτωσης του πρόσθετου αντιγράφου ασφαλείας.
Couldn't load results model.,Αδυναμία φόρτωσης μοντέλου αποτελεσμάτων.
Backup result file not found in database.,Το αρχείο αποτελέσματος αντιγράφου ασφαλείας δεν βρέθηκε στη βάση δεδομένων.
File not found in backup directory structure.,Το αρχείο δεν βρέθηκε στη δομή του φακέλου αντιγράφου ασφαλείας.
Backup file deleted with success.,Το αρχείο αντιγράφου ασφαλείας διαγράφηκε με επιτυχία.
Invalid backup result...,Μη έγκυρο αποτέλεσμα αντιγράφου ασφαλείας...
Error deleting backup file. Please try again.,Σφάλμα κατά τη διαγραφή του αρχείου αντιγράφου ασφαλείας. Παρακαλώ προσπαθήστε ξανά.
Checking backup rules failed.,Αποτυχία ελέγχου κανόνων αντιγράφου ασφαλείας.
Copying backup result files failed.,Απέτυχε η αντιγραφή των αρχείων αποτελεσμάτων αντιγράφου ασφαλείας.
Deleting old backup results failed.,Η διαγραφή των παλαιών αποτελεσμάτων αντιγράφων ασφαλείας απέτυχε.
Add Rule,Προσθήκη Κανόνα
One week,Μία εβδομάδα
Two weeks,Δύο εβδομάδες
30 days,30 ημέρες
60 days,60 ημέρες
Please choose an option for delete action.,Παρακαλώ επιλέξτε μια επιλογή για τη δράση διαγραφής.
Backup rule details saved...,Λεπτομέρειες κανόνα αντιγράφων ασφαλείας αποθηκεύτηκαν...
Backup Rules List,Λίστα Κανόνων Αντιγράφων Ασφαλείας
backup rule,κανόνας αντιγράφου ασφαλείας
backup rules,κανόνες αντιγράφων ασφαλείας
Backup Rules,Κανόνες Αντιγράφων Ασφαλείας
Invalid backup rule or backup rule not found in database.,Μη έγκυρος κανόνας αντιγράφου ασφαλείας ή κανόνας αντιγράφου ασφαλείας που δεν βρέθηκε στη βάση δεδομένων.
Backup rule details saved in database.,Λεπτομέρειες κανόνα αντιγράφων ασφαλείας αποθηκεύτηκαν στη βάση δεδομένων.
All records containing this value in title field,Όλες οι εγγραφές που περιέχουν αυτήν την τιμή στο πεδίο τίτλου
When,Όταν
Required backup rules activated with success.,Οι απαιτούμενοι κανόνες αντιγράφου ασφαλείας ενεργοποιήθηκαν με επιτυχία.
Activating selected backup rules failed. Please try again.,Η ενεργοποίηση των επιλεγμένων κανόνων αντιγράφου ασφαλείας απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed activating all selected backup rules. Backup rules which failed activation are still selected. Please try again.,Αποτυχία ενεργοποίησης όλων των επιλεγμένων κανόνων αντιγράφων ασφαλείας. Οι κανόνες αντιγράφων ασφαλείας που απέτυχαν στην ενεργοποίηση παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required backup rules inactivated with success.,Οι απαιτούμενοι κανόνες αντιγράφου ασφαλείας απενεργοποιήθηκαν με επιτυχία.
Inactivating selected backup rules failed. Please try again.,Η απενεργοποίηση επιλεγμένων κανόνων αντιγράφου ασφαλείας απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed inactivating all selected backup rules. Backup rules which failed inactivation are still selected. Please try again.,Αποτυχία απενεργοποίησης όλων των επιλεγμένων κανόνων αντιγράφων ασφαλείας. Οι κανόνες αντιγράφων ασφαλείας που απέτυχαν στην απενεργοποίηση παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required backup rules deleted with success.,Οι απαιτούμενοι κανόνες αντιγράφου ασφαλείας διαγράφηκαν με επιτυχία.
Deleting selected backup rules failed. Please try again.,Η διαγραφή των επιλεγμένων κανόνων αντιγράφων ασφαλείας απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected backup rules. Backup rules which failed deletion are still selected. Please try again.,Απέτυχε η διαγραφή όλων των επιλεγμένων κανόνων αντιγράφων ασφαλείας. Οι κανόνες αντιγράφων ασφαλείας που απέτυχαν στη διαγραφή παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Backup rule activated with success.,Η κανόνας αντιγράφων ασφαλείας ενεργοποιήθηκε με επιτυχία.
Activating backup rule failed. Please try again.,Απέτυχε η ενεργοποίηση του κανόνα αντιγράφων ασφαλείας. Παρακαλώ προσπαθήστε ξανά.
Cannot activate backup rule. Backup rule not found in database.,Αδυναμία ενεργοποίησης κανόνα αντιγράφων ασφαλείας. Ο κανόνας αντιγράφων ασφαλείας δεν βρέθηκε στη βάση δεδομένων.
Backup rule inactivated with success.,Κανόνας αντιγράφου ασφαλείας απενεργοποιήθηκε με επιτυχία.
Inactivating backup rule failed. Please try again.,Η απενεργοποίηση του κανόνα αντιγράφου ασφαλείας απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Cannot inactivate backup rule. Backup rule not found in database.,Αδυναμία απενεργοποίησης κανόνα αντιγράφων ασφαλείας. Ο κανόνας αντιγράφων ασφαλείας δεν βρέθηκε στη βάση δεδομένων.
Backup rule deleted with success.,Η κανόνας αντιγράφων ασφαλείας διαγράφηκε με επιτυχία.
Deleting backup rule failed. Please try again.,Αποτυχία διαγραφής κανόνα αντιγράφων ασφαλείας. Παρακαλώ προσπαθήστε ξανά.
Cannot delete backup rule. Backup rule not found in database.,Αδυναμία διαγραφής κανόνα αντιγράφων ασφαλείας. Ο κανόνας αντιγράφων ασφαλείας δεν βρέθηκε στη βάση δεδομένων.
Delete after %s,Διαγραφή μετά από %s
This location doesn't exist yet. System will try creating it at first run.,Αυτή η τοποθεσία δεν υπάρχει ακόμα. Το σύστημα θα προσπαθήσει να τη δημιουργήσει στην πρώτη εκτέλεση.
This location is not a directory. Backups will not be saved here! Please fix this by editing the rule or fixing directory.,Αυτή η τοποθεσία δεν είναι ένας κατάλογος. Οι αντίγραφα ασφαλείας δεν θα αποθηκευτούν εδώ! Παρακαλώ διορθώστε αυτό επεξεργαζόμενοι τον κανόνα ή διορθώνοντας τον κατάλογο.
Edit backup rule,Επεξεργασία κανόνα αντιγράφων ασφαλείας
Activate backup rule,Ενεργοποίηση κανόνα αντιγράφων ασφαλείας
Inactivate backup rule,Απενεργοποίηση κανόνα αντιγράφων ασφαλείας
Delete backup rule,Διαγραφή κανόνα αντιγράφων ασφαλείας
Edit Rule,Επεξεργασία Κανόνα
Couldn't load FTP core library.,Αδυναμία φόρτωσης βασικής βιβλιοθήκης FTP.
Couldn't load backup rules model.,Αδυναμία φόρτωσης μοντέλου κανόνων αντιγράφου ασφαλείας.
Invalid backup rule...,Μη έγκυρος κανόνας αντιγράφου ασφαλείας...
Backup rule details saved.,Λεπτομέρειες κανόνα αντιγράφων ασφαλείας αποθηκεύτηκαν.
Connected to FTP server with success.,Συνδέθηκε με επιτυχία στον διακομιστή FTP.
Failed connecting to FTP server.,Αποτυχία σύνδεσης με τον διακομιστή FTP.
Error sending FTP settings: %s.,Σφάλμα κατά την αποστολή των ρυθμίσεων FTP: %s.
Couldn't setup a FTP instance with provided settings.,Δεν ήταν δυνατή η ρύθμιση μιας FTP εγκατάστασης με τις παρεχόμενες ρυθμίσεις.
Error connecting to FTP server: %s,Σφάλμα σύνδεσης με τον διακομιστή FTP: %s
Couldn't connect to FTP server.,Αδυναμία σύνδεσης με τον διακομιστή FTP.
Backup result not found in database.,Το αποτέλεσμα αντιγράφου ασφαλείας δεν βρέθηκε στη βάση δεδομένων.
Error finishing backup rule for result #%s.,Σφάλμα ολοκλήρωσης κανόνα αντιγραφής ασφαλείας για το αποτέλεσμα #%s.
Leave blank to use location set in plugin settings%s.,Αφήστε κενό για να χρησιμοποιήσετε την τοποθεσία που έχει οριστεί στις ρυθμίσεις του προσθέτου%s.
Hour,Ώρα
Current server time %s,Τρέχουσα ώρα διακομιστή %s
Days,Ημέρες
Targets,Στόχοι
Delete backups,Διαγραφή αντιγράφων ασφαλείας
 - Don't delete results - , - Να μην διαγραφούν τα αποτελέσματα - 
 - Custom value - , - Προσαρμοσμένη τιμή - 
days,ημέρες
Delete resulting backup files of this rule after provided number of days.,Διαγραφή των αρχείων αντιγράφων ασφαλείας που προέκυψαν από αυτόν τον κανόνα μετά από τον παρεχόμενο αριθμό ημερών.
Copy results,Αντιγραφή αποτελεσμάτων
 - Don't copy - , - Μην αντιγράψετε - 
"After creating backup files, copy them in a different location.","Μετά τη δημιουργία αντιγράφων ασφαλείας, αντιγράψτε τα σε διαφορετική τοποθεσία."
FTP Settings,Ρυθμίσεις FTP
Connection type,Τύπος σύνδεσης
Host,Κεντρικός Υπολογιστής
Port,Θύρα
User,Χρήστης
seconds,δευτερόλεπτα
Passive mode,Παθητική λειτουργία
Not applicable for all connection modes.,Δεν εφαρμόζεται για όλους τους τρόπους σύνδεσης.
Remote directory,Απομακρυσμένος κατάλογος
Web Server Note,Σημείωση Διακομιστή Ιστού
Add rule,Προσθήκη κανόνα
"If path is not absolute, it will be relative to framework uploads dir (%s).","Εάν η διαδρομή δεν είναι απόλυτη, θα είναι σχετική με τον κατάλογο μεταφορτώσεων του πλαισίου (%s)."
%s stats:,Στατιστικά %s:
Could't loaded required resources for this view.,Δεν ήταν δυνατή η φόρτωση των απαιτούμενων πόρων για αυτήν την προβολή.
For rule,Για κανόνα
Total size,Συνολικό μέγεθος
File,Αρχείο
Size,Μέγεθος
It seems that backup result has no backup files...,Φαίνεται ότι το αποτέλεσμα αντιγράφου ασφαλείας δεν έχει αρχεία αντιγράφων ασφαλείας...
Download result file,Λήψη αρχείου αποτελεσμάτων
Delete result file,Διαγραφή αρχείου αποτελέσματος
Are you sure you want to delete this backup file?,Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το αρχείο αντιγράφου ασφαλείας;
Sending delete request... Please wait.,Αποστολή αίτησης διαγραφής... Παρακαλώ περιμένετε.
Error sending request to delete backup file. Please retry.,Σφάλμα κατά την αποστολή αιτήματος για διαγραφή αρχείου αντιγράφου ασφαλείας. Παρακαλώ προσπαθήστε ξανά.
System Backups,Αντίγραφα Ασφαλείας Συστήματος
Add Backup Rule,Προσθήκη Κανόνα Αντιγράφων Ασφαλείας
List Backup Rules,Κανόνες Αντιγράφων Ασφαλείας Λίστας
List Backups,Λίστα Αντιγράφων Ασφαλείας
Copy to FTP,Αντιγραφή σε FTP
Each day,Κάθε μέρα
Monday,Δευτέρα
Tuesday,Τρίτη
Wednesday,Τετάρτη
Thursday,Πέμπτη
Friday,Παρασκευή
Saturday,Σάββατο
Sunday,Κυριακή
Backup rule details not found in database.,Λεπτομέρειες κανόνα αντιγράφων ασφαλείας δεν βρέθηκαν στη βάση δεδομένων.
You will have to activate backup plugin before activating backup rule.,Θα πρέπει να ενεργοποιήσετε το πρόσθετο αντιγράφων ασφαλείας πριν ενεργοποιήσετε τον κανόνα αντιγράφων ασφαλείας.
Error saving backup rule details to database.,Σφάλμα κατά την αποθήκευση των λεπτομερειών του κανόνα αντιγράφου ασφαλείας στη βάση δεδομένων.
Couldn't obtain all required resources.,Αδυναμία λήψης όλων των απαιτούμενων πόρων.
Error suspending all active backup rules.,Σφάλμα κατά την αναστολή όλων των ενεργών κανόνων αντιγράφου ασφαλείας.
Error unsuspending all active backup rules.,Σφάλμα στην αναίρεση των όλων των ενεργών κανόνων αντιγράφων ασφαλείας.
Backup rule not found in database.,Η κανόνας αντιγραφής ασφαλείας δεν βρέθηκε στη βάση δεδομένων.
Couldn't obtain rule location path details.,Δεν ήταν δυνατή η λήψη λεπτομερειών της τοποθεσίας του κανόνα.
Please provide an output directory for database dump commands.,Παρακαλώ καθορίστε έναν κατάλογο εξόδου για τις εντολές αντιγραφής ασφαλείας της βάσης δεδομένων.
Please provide an output directory for uploaded files dump commands.,Παρακαλώ καθορίστε έναν κατάλογο εξόδου για τις εντολές απορρόφησης αρχείων που μεταφορτώθηκαν.
Error obtaining backup rule location details.,Σφάλμα κατά τη λήψη λεπτομερειών τοποθεσίας κανόνα αντιγράφου ασφαλείας.
Error creating backup running directory in rule location directory.,Σφάλμα δημιουργίας καταλόγου εκτέλεσης αντιγράφου ασφαλείας στον κατάλογο τοποθεσίας κανόνα.
Error obtaining batabase backup script commands.,Σφάλμα κατά τη λήψη εντολών σεναρίου αντιγράφου ασφαλείας βάσης δεδομένων.
Error obtaining uploaded files backup script commands.,Σφάλμα κατά τη λήψη των εντολών σεναρίου αντιγράφου ασφαλείας αρχείων που μεταφορτώθηκαν.
No backup commands to pass to shell script.,Δεν υπάρχουν εντολές αντιγράφου ασφαλείας για να περάσουν στο shell script.
Couldn't save backup results details in database.,Δεν ήταν δυνατή η αποθήκευση λεπτομερειών αποτελεσμάτων αντιγράφου ασφαλείας στη βάση δεδομένων.
Error obtaining run rule finish background command.,Σφάλμα κατά τη λήψη της εντολής ολοκλήρωσης κανόνα εκτέλεσης.
Error creating backup shell script.,Σφάλμα κατά τη δημιουργία του shell script αντιγράφου ασφαλείας.
Couldn't obtain required resources.,Αδυναμία λήψης των απαιτούμενων πόρων.
Error launching backup result shell script.,Σφάλμα κατά την εκκίνηση του shell script αποτελέσματος αντιγράφου ασφαλείας.
Couldn't unlink days for backup rule.,Αδυναμία αποσύνδεσης ημερών για τον κανόνα αντιγραφής ασφαλείας.
Error obtaining FTP credentials.,Σφάλμα κατά τη λήψη των διαπιστευτηρίων FTP.
No days provided to link to backup rule.,Δεν παρέχονται ημέρες για σύνδεση με τον κανόνα αντιγράφου ασφαλείας.
Error un-linking days for backup rule.,Σφάλμα στην αποσύνδεση των ημερών για τον κανόνα αντιγραφής ασφαλείας.
Error linking days to backup rule.,Σφάλμα σύνδεσης ημερών με κανόνα αντιγράφων ασφαλείας.
Couldn't create backup location for provided rule.,Αδυναμία δημιουργίας τοποθεσίας αντιγράφου ασφαλείας για τον καθορισμένο κανόνα.
Backup location directory is not writable.,Ο κατάλογος τοποθεσίας αντιγράφου ασφαλείας δεν είναι εγγράψιμος.
Error creating rule directory in backup location directory.,Σφάλμα δημιουργίας καταλόγου κανόνα στον κατάλογο τοποθεσίας αντιγράφου ασφαλείας.
Please provide a result ID.,Παρακαλώ δώστε ένα αναγνωριστικό αποτελέσματος.
Please provide full script file name.,Παρακαλώ δώστε το πλήρες όνομα του αρχείου σεναρίου.
Commands array provided is empty.,Ο παρεχόμενος πίνακας εντολών είναι κενός.
Couldn't write to backup shell script.,Αδυναμία εγγραφής στο αντίγραφο ασφαλείας του shell script.
Couldn't write commands to backup shell script.,Δεν μπόρεσε να γράψει εντολές για το αντίγραφο ασφαλείας του shell script.
Please provide a rule title.,Παρακαλώ δώστε έναν τίτλο κανόνα.
Please provide a copy result action.,Παρακαλώ παρέχετε μια ενέργεια αντιγραφής αποτελέσματος.
Invalid FTP settings.,Μη έγκυρες ρυθμίσεις FTP.
Error encoding FTP credentials. Please try again.,Σφάλμα κωδικοποίησης διαπιστευτηρίων FTP. Παρακαλώ προσπαθήστε ξανά.
Provided backup location is not a directory.,Η παρεχόμενη τοποθεσία αντιγράφου ασφαλείας δεν είναι φάκελος.
Provided backup location is not writable.,Η παρεχόμενη τοποθεσία αντιγράφου ασφαλείας δεν είναι εγγράψιμη.
Please provide a valid backup hour.,Παρακαλώ δώστε μια έγκυρη ώρα αντιγράφου ασφαλείας.
Please provide a valid result delition interval.,Παρακαλώ παρέχετε ένα έγκυρο διάστημα διαγραφής αποτελέσματος.
Please provide backup rule days.,Παρακαλώ παράσχετε τις ημέρες κανόνα αντιγράφου ασφαλείας.
Please provide backup targets.,Παρακαλώ παρέχετε στόχους αντιγράφου ασφαλείας.
Please provide valid status for backup rule.,Παρακαλώ παρέχετε έγκυρη κατάσταση για τον κανόνα αντιγραφής ασφαλείας.
Provided backup location couldn't be checked.,Η τοποθεσία αντιγράφου ασφαλείας που παρέχεται δεν μπορούσε να ελεγχθεί.
Please provide a backup rule id.,Παρακαλώ δώστε ένα αναγνωριστικό κανόνα αντιγράφου ασφαλείας.
Please provide a valid day for backup rule.,Παρακαλώ δώστε έναν έγκυρο κανόνα για αντίγραφο ασφαλείας ημέρας.
Suspended,Ανασταλμένο
Log file,Αρχείο καταγραφής
Result file,Αρχείο αποτελέσματος
Backup result details not found in database.,Λεπτομέρειες αποτελέσματος αντιγράφου ασφαλείας δεν βρέθηκαν στη βάση δεδομένων.
Backup result run directory not set.,Το αποτέλεσμα αντιγραφής ασφαλείας του καταλόγου εκτέλεσης δεν έχει οριστεί.
Backup result is not pending execution.,Το αποτέλεσμα αντιγράφου ασφαλείας δεν είναι σε εκκρεμή εκτέλεση.
Backup result is not running.,Το αποτέλεσμα αντιγράφου ασφαλείας δεν εκτελείται.
Error updating backup result files sizes.,Σφάλμα κατά την ενημέρωση των μεγεθών αρχείων αποτελεσμάτων αντιγράφου ασφαλείας.
Cannot obtain backup result files from database.,Αδυναμία λήψης αρχείων αποτελεσμάτων αντιγράφου ασφαλείας από τη βάση δεδομένων.
Error updating backup result size.,Σφάλμα κατά την ενημέρωση του μεγέθους αποτελέσματος αντιγράφου ασφαλείας.
Error updating backup result files size.,Σφάλμα κατά την ενημέρωση του μεγέθους των αρχείων αποτελεσμάτων αντιγράφου ασφαλείας.
Couldn't unlink result files from result.,Αδυναμία αποσύνδεσης αρχείων αποτελέσματος από το αποτέλεσμα.
Error updating result details from database.,Σφάλμα κατά την ενημέρωση των λεπτομερειών αποτελέσματος από τη βάση δεδομένων.
Error deleting result file.,Σφάλμα κατά τη διαγραφή του αρχείου αποτελέσματος.
No files provided to link to backup result.,Δεν παρέχονται αρχεία για σύνδεση με το αποτέλεσμα αντιγράφου ασφαλείας.
Error un-linking result files from backup result.,Σφάλμα στην αποσύνδεση των αρχείων αποτελέσματος από το αντίγραφο ασφαλείας αποτελέσματος.
Error inserting result file in database.,Σφάλμα κατά την εισαγωγή του αρχείου αποτελεσμάτων στη βάση δεδομένων.
Error editing result file in database.,Σφάλμα επεξεργασίας αρχείου αποτελέσματος στη βάση δεδομένων.
Please provide running backup rule directory.,Παρακαλώ παράσχετε τον κανόνα εκτέλεσης αντιγράφου ασφαλείας του φακέλου.
Please provide backup result rule.,Παρακαλώ παρέχετε τον κανόνα αποτελέσματος αντιγράφου ασφαλείας.
Error linking result files to backup result.,Σφάλμα σύνδεσης αρχείων αποτελεσμάτων με αντίγραφο ασφαλείας αποτελέσματος.
Please provide a backup result id for result file.,Παρακαλώ παρέχετε ένα αναγνωριστικό αντιγράφου ασφαλείας για το αρχείο αποτελέσματος.
Please provide a backup result file.,Παρακαλώ παρέχετε ένα αρχείο αποτελεσμάτων αντιγράφου ασφαλείας.
Please provide a backup result file target id.,Παρακαλώ παράσχετε έναν στόχο αρχείου αποτελέσματος αντιγράφου ασφαλείας.
Please provide a backup result file type.,Παρακαλώ παρέχετε έναν τύπο αρχείου αποτελέσματος αντιγράφου ασφαλείας.
