# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Account Activation,Attivazione account
Last Name,Cognome
Phone Number,Numero di telefono
Company,Azienda
Save Changes,Modifiche salvate
Forgot password,Hai dimenticato la password
Provide email address of your account,Fornire l'indirizzo e-mail per il tuo account
Validation code,Codice di validazione
Once you submit this form you will receive an email with instructions.,Dopo aver inviato questo modulo riceverai una mail con le istruzioni.
Submit,Invio
Password,Password
Remember Me,Ricordami
 (for %s), (per %s)
Normal sessions will expire in %s.,La sessione scadrà in %s.
Register an account,Registra un account
Confirm password,Conferma password
Register,Registro
Already have an account,Hai già un account
I just forgot my password,Password dimenticata
Account registered,Account registrato
"You successfully registered your account. However, before using your account you must activate it.","Il tuo account è stato registrato con successo. Tuttavia, prima di utilizzare il tuo account è necessario attivarlo."
We sent you an activation link at %s. Please check your email (also looking into spam folder) and click or access the activation link.,Abbiamo inviato un link di attivazione a %s . Si prega di controllare la tua e-mail (guarda anche nella cartella spam) e clicca o accedi al link di attivazione.
Member,Membro
Operator,Operatore
Admin,Amministratore
Super admin,Super amministratore
Developer,Sviluppatore
Inactive,Inattivo
Active,Attivo
Suspended,Sospeso
Deleted,Eliminata
there, 
