# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Error loading required resources.,Σφάλμα φόρτωσης απαιτούμενων πόρων.
"Should an account be activated before login after registration? When admin creates accounts, these will be automatically active.","Πρέπει να ενεργοποιηθεί ένας λογαριασμός πριν τη σύνδεση μετά την εγγραφή; Όταν ο διαχειριστής δημιουργεί λογαριασμούς, αυτοί θα είναι αυτόματα ενεργοί."
Generate password if not present,Δημιουργία κωδικού πρόσβασης εάν δεν υπάρχει
"If, by any reasons, password is not present when creating an account autogenerate a password or return error?","Αν, για οποιονδήποτε λόγο, ο κωδικός πρόσβασης δεν υπάρχει κατά τη δημιουργία λογαριασμού, να αυτοδημιουργηθεί ένας κωδικός πρόσβασης ή να επιστραφεί σφάλμα;"
Emails should be unique,Τα emails πρέπει να είναι μοναδικά
Should account creation fail if same email already exists in database?,Θα πρέπει η δημιουργία λογαριασμού να αποτύχει εάν το ίδιο email υπάρχει ήδη στη βάση δεδομένων;
Account Password Settings,Ρυθμίσεις Κωδικού Λογαριασμού
Settings related to account password rules.,Ρυθμίσεις που σχετίζονται με τους κανόνες του κωδικού πρόσβασης του λογαριασμού.
Password decryption enabled,Απενεργοποιήθηκε η αποκρυπτογράφηση κωδικού πρόσβασης
"If NOT ticked, system will not use internal encryption/decryption for passwords, so passwords cannot be decrypted anymore.","Εάν ΔΕΝ είναι επιλεγμένο, το σύστημα δεν θα χρησιμοποιήσει εσωτερική κρυπτογράφηση/αποκρυπτογράφηση για τους κωδικούς πρόσβασης, οπότε οι κωδικοί πρόσβασης δεν μπορούν πλέον να αποκρυπτογραφηθούν."
Accounts will have to setup a password at first login.,Οι λογαριασμοί θα πρέπει να δημιουργήσουν έναν κωδικό πρόσβασης κατά την πρώτη σύνδεση.
Password policy (if not provided),Πολιτική κωδικού πρόσβασης (εάν δεν παρέχεται)
"When password is not provided at registration, we can generate one or ask user to setup a password at first login. If <em>Password decryption enabled</em> is NOT ticked, user will be asked to setup a password anyway.","Όταν δεν παρέχεται κωδικός πρόσβασης κατά την εγγραφή, μπορούμε να δημιουργήσουμε έναν ή να ζητήσουμε από τον χρήστη να ορίσει έναν κωδικό πρόσβασης κατά την πρώτη σύνδεσή του. Εάν το <em>Ενεργοποιημένη αποκρυπτογράφηση κωδικού πρόσβασης</em> ΔΕΝ είναι επιλεγμένο, ο χρήστης θα ζητηθεί να ορίσει έναν κωδικό πρόσβασης ούτως ή άλλως."
Minimum password length,Ελάχιστο μήκος κωδικού πρόσβασης
Password reg-exp,Κωδικός παράστασης reg-exp
"If provided, all passwords have to pass this regular expression. Previous created accounts will not be affected by this. Please use / as preg_match delimiter.","Εάν παρέχεται, όλοι οι κωδικοί πρόσβασης πρέπει να περάσουν αυτήν την τακτική έκφραση. Τα προηγούμενα δημιουργημένα λογαριασμοί δεν θα επηρεαστούν από αυτό. Παρακαλούμε χρησιμοποιήστε το / ως διαχωριστή preg_match."
Password explanation,Εξήγηση κωδικού πρόσβασης
"Explain password rules (if required) in a friendly text (eg. Password should contain lower and upper chars, with at least one digit, etc) This will pass translation as string to be available in other languages.","Εξηγήστε τους κανόνες για τον κωδικό πρόσβασης (εάν απαιτείται) με φιλικό κείμενο (π.χ. Ο κωδικός πρόσβασης πρέπει να περιέχει πεζούς και κεφαλαίους χαρακτήρες, με τουλάχιστον έναν αριθμό, κλπ). Αυτό θα περάσει τη μετάφραση ως συμβολοσειρά για να είναι διαθέσιμο σε άλλες γλώσσες."
Password salt length,Μήκος αλατιού κωδικού πρόσβασης
Each account uses it's own password salt. (Google salt for more details),Κάθε λογαριασμός χρησιμοποιεί το δικό του αλάτι κωδικοποίησης. (Αναζητήστε τον όρο 'αλάτι' στη Google για περισσότερες λεπτομέρειες)
Expire passwords days,Ημέρες λήξης κωδικών πρόσβασης
After how many days should passwords expire (0 - no expiration),Μετά από πόσες ημέρες πρέπει να λήξουν οι κωδικοί πρόσβασης (0 - χωρίς λήξη)
Old passwords history,Ιστορικό παλαιών κωδικών πρόσβασης
"When changing password, keep a history of older passwords and don't allow using an old one as the new password. (0 - no history)","Κατά την αλλαγή του κωδικού πρόσβασης, διατηρήστε μια ιστορική λίστα με τους παλαιότερους κωδικούς και μην επιτρέπετε τη χρήση ενός παλαιού ως νέο κωδικό. (0 - χωρίς ιστορικό)"
Block expired accounts time,Χρόνος λήξης αποκλεισμένων λογαριασμών
"After how many hours to force user to change account password by redirecting to change password page. (0 - right away, -1 - don't block, only alerts)","Μετά από πόσες ώρες να αναγκαστεί ο χρήστης να αλλάξει τον κωδικό λογαριασμού με ανακατεύθυνση στη σελίδα αλλαγής κωδικού. (0 - αμέσως, -1 - μην αποκλείσεις, μόνο ειδοποιήσεις)"
Announce password change,Ανακοίνωση αλλαγής κωδικού πρόσβασης
Should system send an email to account's email address when password changes?,Θα πρέπει το σύστημα να στείλει email στη διεύθυνση email του λογαριασμού όταν αλλάζει ο κωδικός;
Account Session Settings,Ρυθμίσεις Συνεδρίας Λογαριασμού
Settings related to account session rules.,Ρυθμίσεις που σχετίζονται με τους κανόνες συνεδρίας λογαριασμού.
Session lifetime (long) mins,Διάρκεια συνεδρίας (μακρά) λεπτά
"After how many minutes should session expire if user ticked \""Remember Me\"" checkbox","Μετά από πόσα λεπτά πρέπει να λήξει η συνεδρία αν ο χρήστης επέλεξε το πλαίσιο επιλογής \""Να με θυμάσαι\"
Session lifetime (short) mins,Διάρκεια συνεδρίας (σύντομη) λεπτά
"After how many minutes should session expire if user DIDN'T tick \""Remember Me\"" checkbox","Μετά από πόσα λεπτά πρέπει να λήξει η συνεδρία αν ο χρήστης ΔΕΝ επέλεξε το πλαίσιο επιλογής \""Να με θυμάσαι\"
Account Security Settings,Ρυθμίσεις Ασφάλειας Λογαριασμού
Settings related to account security audit policies.,Ρυθμίσεις που σχετίζονται με τις πολιτικές ελέγχου ασφαλείας λογαριασμού.
Log account creation,Καταγραφή δημιουργίας λογαριασμού
Should system log account creation?,Θα πρέπει το σύστημα να καταγράφει τη δημιουργία λογαριασμού;
Log account logins,Καταγραφή συνδέσεων λογαριασμού
Should system log account logins?,Θα πρέπει το σύστημα να καταγράφει τις συνδέσεις στον λογαριασμό;
Log password changes,Καταγραφή αλλαγών κωδικού πρόσβασης
Should system log account password changes?,Θα πρέπει το σύστημα να καταγράφει τις αλλαγές στον κωδικό πρόσβασης του λογαριασμού;
Log roles changes,Καταγραφή αλλαγών ρόλων
Should system log account roles changes?,Θα πρέπει το σύστημα να καταγράφει τις αλλαγές στους ρόλους των λογαριασμών;
Account Lockout Settings,Ρυθμίσεις Κλειδώματος Λογαριασμού
Settings related to account lockout policy.,Ρυθμίσεις που σχετίζονται με την πολιτική κλειδώματος λογαριασμού.
Account lockout enabled?,Ενεργοποιημένο κλείδωμα λογαριασμού;
Is account lockout enabled on this platform,Είναι η απενεργοποίηση λογαριασμού ενεργοποιημένη σε αυτήν την πλατφόρμα
Lockout after failed logins,Κλείδωμα μετά από αποτυχημένες προσπάθειες σύνδεσης
After how many failed logins should system lockout the account,Μετά από πόσες αποτυχημένες προσπάθειες σύνδεσης πρέπει το σύστημα να κλειδώσει τον λογαριασμό
Lockout interval (minutes),Διάστημα κλειδώματος (λεπτά)
How many minutes should platform lock the account,Πόσα λεπτά πρέπει να κλειδώσει η πλατφόρμα τον λογαριασμό
Two Factor Authentication Settings,Ρυθμίσεις Διπλής Πιστοποίησης Παράγοντα
Settings related to two factor authentication feature.,Ρυθμίσεις που σχετίζονται με το χαρακτηριστικό διπλής ταυτοποίησης.
Account 2FA policy,Πολιτική λογαριασμού 2FA
What 2FA policy should be applied on this platform,Ποια πολιτική 2FA πρέπει να εφαρμοστεί σε αυτήν την πλατφόρμα
2FA account levels,Επίπεδα λογαριασμού 2FA
"Which account levels should follow selected 2FA policy. If no account level is selected, all will follow the policy.","Ποια επίπεδα λογαριασμών πρέπει να ακολουθήσουν την επιλεγμένη πολιτική 2FA. Αν δεν επιλεγεί κανένα επίπεδο λογαριασμού, όλοι θα ακολουθήσουν την πολιτική."
2FA account exceptions,Εξαιρέσεις λογαριασμού 2FA
Comma separated account IDs or nicknames which will always skip 2FA flow.,Τα αναγνωριστικά λογαριασμών ή τα ονόματα χρηστών που χωρίζονται με κόμμα και θα παραλείπουν πάντα τη ροή 2FA.
2FA session length (hours),Διάρκεια συνεδρίας 2FA (ώρες)
How many hours should 2FA not be required on current session. 0 means forever,Για πόσες ώρες δεν πρέπει να απαιτείται η διπλή επαλήθευση στην τρέχουσα συνεδρία. Το 0 σημαίνει για πάντα
Remember device length (hours),Να θυμάστε το μήκος της συσκευής (ώρες)
How many hours should 2FA not be required on current device. 0 means disable this option,Πόσες ώρες πρέπει να μην απαιτείται η διπλή επαλήθευση ταυτότητας (2FA) στην τρέχουσα συσκευή. Το 0 σημαίνει απενεργοποίηση αυτής της επιλογής.
2FA Issuer,Εκδότης 2FA
How should this platform appear in Google Authenticator as name,Πώς θα πρέπει να εμφανίζεται αυτή η πλατφόρμα στο Google Authenticator ως όνομα
Error defining login source.,Σφάλμα κατά τον ορισμό της πηγής σύνδεσης εισόδου.
Couldn't logout from subaccount.,Αδυναμία αποσύνδεσης από υπολογαριαστικό λογαριασμό.
Couldn't logout from your account. Please retry.,Αδυναμία αποσύνδεσης από τον λογαριασμό σας. Παρακαλώ προσπαθήστε ξανά.
Error generating bearer token.,Σφάλμα κατά τη δημιουργία του bearer token.
Error decoding bearer token.,Σφάλμα αποκωδικοποίησης του bearer token.
Unknown or inactive account.,Άγνωστος ή ανενεργός λογαριασμός.
Login failed. Please try again.,Αποτυχία σύνδεσης. Παρακαλώ προσπαθήστε ξανά.
Invalid confirmation reason.,Μη έγκυρος λόγος επιβεβαίωσης.
Unknown account.,Άγνωστος λογαριασμός.
Error obtaining confirmation parameter. Please try again.,Σφάλμα κατά τη λήψη της παραμέτρου επιβεβαίωσης. Παρακαλώ προσπαθήστε ξανά.
Confirmation parameter is invalid or expired.,Ο παράμετρος επιβεβαίωσης είναι μη έγκυρη ή έχει λήξει.
Your account is now active.,Ο λογαριασμός σας είναι πλέον ενεργός.
Your email address is now confirmed.,Η διεύθυνση email σας επιβεβαιώθηκε τώρα.
You can now change your password.,Μπορείτε τώρα να αλλάξετε τον κωδικό πρόσβασής σας.
Setup a password for your account.,Διαμορφώστε έναν κωδικό πρόσβασης για τον λογαριασμό σας.
Couldn't obtain confirmation parameters.,Αδυναμία λήψης παραμέτρων επιβεβαίωσης.
Couldn't load required resources.,Αδυναμία φόρτωσης των απαιτούμενων πόρων.
Confirmation reason unknown.,Άγνωστος λόγος επιβεβαίωσης.
Account doesn't require activation.,Ο λογαριασμός δεν απαιτεί ενεργοποίηση.
Failed activating account. Please try again.,Αποτυχία ενεργοποίησης λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Failed confirming email address. Please try again.,Αποτυχία επιβεβαίωσης διεύθυνσης email. Παρακαλώ προσπαθήστε ξανά.
Cannot change password for this account.,Δεν είναι δυνατή η αλλαγή του κωδικού πρόσβασης για αυτόν τον λογαριασμό.
Couldn't obtain change password page parameters. Please try again.,Δεν ήταν δυνατή η λήψη των παραμέτρων της σελίδας αλλαγής κωδικού πρόσβασης. Παρακαλώ προσπαθήστε ξανά.
Import file is not readable.,Το αρχείο εισαγωγής δεν είναι αναγνώσιμο.
Couldn't extract data from import file.,Δεν ήταν δυνατή η εξαγωγή δεδομένων από το αρχείο εισαγωγής.
Accounts import data is invalid.,Η εισαγωγή δεδομένων λογαριασμών είναι μη έγκυρη.
Import level provided is invalid.,Το επίπεδο εισαγωγής που παρέχεται δεν είναι έγκυρο.
No directory provided to save export data to or no rights to write in that directory.,Δεν παρέχεται κατάλογος για την αποθήκευση των δεδομένων εξαγωγής ή δεν υπάρχουν δικαιώματα εγγραφής σε αυτόν τον κατάλογο.
Couldn't create export file.,Αδυναμία δημιουργίας αρχείου εξαγωγής.
Headers already sent. Cannot send export file to browser.,Κεφαλίδες έχουν ήδη σταλεί. Δεν είναι δυνατή η αποστολή του αρχείου εξαγωγής στον περιηγητή.
Account Confirmation,Επιβεβαίωση Λογαριασμού
Error sending confirmation email.,Σφάλμα κατά την αποστολή email επιβεβαίωσης.
Error sending confirmation email to %s.,Σφάλμα κατά την αποστολή επιβεβαίωσης email προς το %s.
No need to setup a password for provided account.,Δεν χρειάζεται να ρυθμίσετε έναν κωδικό πρόσβασης για το παρεχόμενο λογαριασμό.
Account Password Setup,Ρύθμιση Κωδικού Λογαριασμού
Error querying accounts for export.,Σφάλμα κατά τον ερώτημα των λογαριασμών για εξαγωγή.
Error creating temporary accounts import directory: [%s].,Σφάλμα δημιουργίας καταλόγου εισαγωγής προσωρινών λογαριασμών: [%s].
Password Setup,Ρύθμιση Κωδικού Πρόσβασης
login page,σελίδα σύνδεσης
Password setup not required. Go to %s.,Η ρύθμιση κωδικού πρόσβασης δεν απαιτείται. Μεταβείτε στο %s.
Password setup link expired. Please try again.,Ο σύνδεσμος δημιουργίας κωδικού πρόσβασης έχει λήξει. Παρακαλώ προσπαθήστε ξανά.
Password setup with success.,Ρύθμιση κωδικού πρόσβασης με επιτυχία.
Please provide mandatory fields.,Παρακαλώ παρέχετε υποχρεωτικά πεδία.
Passwords mismatch.,Οι κωδικοί πρόσβασης δεν ταιριάζουν.
Error settings up a password. Please try again.,Σφάλμα ρύθμισης κωδικού πρόσβασης. Παρακαλώ προσπαθήστε ξανά.
Account Activation,Ενεργοποίηση λογαριασμού
Couldn't interpret confirmation parameter. Please try again.,Δεν ήταν δυνατή η ερμηνεία της παραμέτρου επιβεβαίωσης. Παρακαλώ προσπαθήστε ξανά.
Action Confirmed...,Ενέργεια Επιβεβαιώθηκε...
Cannot send registration email to this account.,Αδυναμία αποστολής email εγγραφής σε αυτόν τον λογαριασμό.
Error sending registration email to %s.,Σφάλμα κατά την αποστολή email εγγραφής προς τον %s.
Logout,Αποσύνδεση
You logged out from your account...,Αποσυνδεθήκατε από τον λογαριασμό σας...
Couldn't load accounts plugin.,Αδυναμία φόρτωσης του πρόσθετου λογαριασμών.
Successfully logged out...,Αποσυνδέθηκε με επιτυχία...
Error logging out... Please try again.,Σφάλμα καταγραφής εξόδου... Παρακαλώ προσπαθήστε ξανά.
Cannot send forgot password email to this account.,Δεν είναι δυνατή η αποστολή email επαναφοράς κωδικού πρόσβασης σε αυτόν τον λογαριασμό.
Error triggering account action in background for account #%s (%s).,Σφάλμα ενεργοποίησης ενέργειας λογαριασμού στο παρασκήνιο για τον λογαριασμό #%s (%s).
Your session expired. Please login again into your account.,Η συνεδρία σας έληξε. Παρακαλώ συνδεθείτε ξανά στον λογαριασμό σας.
Account registered and active. You can login now.,Ο λογαριασμός έχει εγγραφεί και είναι ενεργός. Μπορείτε να συνδεθείτε τώρα.
Password changed with success. You can login now.,Ο κωδικός πρόσβασης άλλαξε με επιτυχία. Μπορείτε να συνδεθείτε τώρα.
An email with your password was sent to email provided in your account details.,Ένα email με τον κωδικό πρόσβασής σας εστάλη στο email που δόθηκε στα στοιχεία λογαριασμού σας.
Already logged in...,Ήδη συνδεδεμένος...
Please provide complete mandatory fields.,Παρακαλώ παρέχετε τα πλήρη υποχρεωτικά πεδία.
Bad username or password.,Λανθασμένο όνομα χρήστη ή κωδικός πρόσβασης.
Successfully logged in...,Επιτυχής σύνδεση...
Error logging in... Please try again.,Σφάλμα καταγραφής σύνδεσης... Παρακαλώ προσπαθήστε ξανά.
Account doesn't need password change notification.,Ο λογαριασμός δεν χρειάζεται ειδοποίηση αλλαγής κωδικού πρόσβασης.
Password changed,Ο κωδικός πρόσβασης άλλαξε
Error sending password changed message to %s.,Σφάλμα κατά την αποστολή μηνύματος αλλαγής κωδικού πρόσβασης προς το %s.
Account doesn't need email verification.,Ο λογαριασμός δεν χρειάζεται επαλήθευση email.
Verify Email,Επαλήθευση Email
Error sending verify email message to %s.,Σφάλμα κατά την αποστολή μηνύματος επαλήθευσης email προς το %s.
Error logging in. Please try again.,Σφάλμα καταγραφής σύνδεσης. Παρακαλώ προσπαθήστε ξανά.
API change password should use mobileapi plugin.,Η αλλαγή κωδικού πρόσβασης του API θα πρέπει να χρησιμοποιεί το πρόσθετο mobileapi.
Error changing account password. Please try again.,Σφάλμα κατά την αλλαγή του κωδικού πρόσβασης λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Register an Account,Καταχωρήστε έναν Λογαριασμό
User account registered with success...,Ο λογαριασμός χρήστη καταχωρήθηκε με επιτυχία...
Invalid validation code.,Μη έγκυρος κωδικός επικύρωσης.
Passwords mistmatch.,Οι κωδικοί πρόσβασης δεν ταιριάζουν.
Two Factor Authentication Setup,Ρύθμιση Πιστοποίησης Δύο Παραγόντων
Two factor authentication setup with success.,Ρύθμιση διπλής πιστοποίησης με επιτυχία.
Error obtaining two factor authentication setup link. Please refresh the page or contact support.,Σφάλμα κατά τη λήψη του συνδέσμου ρύθμισης διπλής πιστοποίησης. Παρακαλώ ανανεώστε τη σελίδα ή επικοινωνήστε με την υποστήριξη.
You have to finalize two factor authentication setup first.,Πρέπει να ολοκληρώσετε πρώτα τη ρύθμιση ταυτοποίησης δύο παραγόντων.
Couldn't generate recovery codes file.,Αδυναμία δημιουργίας αρχείου κωδικών ανάκτησης.
Error downloading two factor authentication recovery codes file: %s,Σφάλμα λήψης αρχείου ανάκτησης κωδικών αυθεντικοποίησης δύο παραγόντων: %s
Please provide a verification code.,Παρακαλώ παράσχετε έναν κωδικό επαλήθευσης.
Two factor authentication verification failed. Please try again.,Η επαλήθευση διπλού παράγοντα απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Error finializing two factor authentication setup. Please try again.,Σφάλμα κατά την ολοκλήρωση της ρύθμισης διπλής πιστοποίησης. Παρακαλώ προσπαθήστε ξανά.
Error marking device as two factor authentication valid.,Σφάλμα σήμανσης συσκευής ως έγκυρης για διπλή πιστοποίηση ταυτότητας.
Two Factor Authentication disabled for your account.,Η διπλή πιστοποίηση απενεργοποιήθηκε για τον λογαριασμό σας.
You should first setup two factor authentication for your account.,Πρέπει πρώτα να ρυθμίσετε τη διπλή πιστοποίηση για τον λογαριασμό σας.
Please provide a two factor authentication code.,Παρακαλώ παρέχετε έναν κωδικό επαλήθευσης δύο παραγόντων.
Invalid verification code. Please try again.,Μη έγκυρος κωδικός επαλήθευσης. Παρακαλώ προσπαθήστε ξανά.
No two factor authentication set up for your account yet.,Δεν έχει διαμορφωθεί ακόμα η διπλή πιστοποίηση παράγοντα για τον λογαριασμό σας.
Error cancelling two factor authentication for your account. Please try again,Σφάλμα στην ακύρωση της διπλής πιστοποίησης ταυτότητας για τον λογαριασμό σας. Παρακαλώ προσπαθήστε ξανά
Two Factor Authentication Verification,Επαλήθευση Διπλής Ταυτοποίησης Παράγοντα
Error updating session details. Please try again.,Σφάλμα κατά την ενημέρωση των λεπτομερειών συνεδρίας. Παρακαλώ προσπαθήστε ξανά.
Two factor authentication verification passed.,Επιτυχής επαλήθευση διπλής πιστοποίησης παρέλθει.
Edit Profile,Επεξεργασία Προφίλ
Changes saved to database.,Οι αλλαγές αποθηκεύτηκαν στη βάση δεδομένων.
Verification email sent... Please follow the steps in email to acknowledge your email address.,Το email επαλήθευσης εστάλη... Παρακαλώ ακολουθήστε τα βήματα στο email για να επιβεβαιώσετε τη διεύθυνση email σας.
Couldn't send verification email. Please try again.,Αδυναμία αποστολής email επαλήθευσης. Παρακαλώ προσπαθήστε ξανά.
Changes saved...,Οι αλλαγές αποθηκεύτηκαν...
Cannot send registration confirmation to this account.,Δεν είναι δυνατή η αποστολή επιβεβαίωσης εγγραφής σε αυτόν τον λογαριασμό.
Password reset link,Σύνδεσμος επαναφοράς κωδικού πρόσβασης
Error sending forgot password email to %s.,Σφάλμα κατά την αποστολή email ξεχασμένου κωδικού πρόσβασης προς το %s.
Change Password,Αλλαγή Κωδικού Πρόσβασης
"Your password expired. For security reasons, please change it.","Ο κωδικός πρόσβασής σας έληξε. Προς λόγους ασφαλείας, παρακαλούμε να τον αλλάξετε."
Password changed with success.,Ο κωδικός πρόσβασης άλλαξε με επιτυχία.
Error changing password. Please try again.,Σφάλμα κατά την αλλαγή του κωδικού πρόσβασης. Παρακαλώ προσπαθήστε ξανά.
Forgot Password,Ξεχάσατε τον κωδικό πρόσβασης
Email with instructions sent to provided email address.,Το email με οδηγίες εστάλη στη διεύθυνση email που δόθηκε.
Account registered,Ο λογαριασμός εγγράφηκε
Hello %s.,Γεια σας %s.
"You successfully registered your account. However, before using your account you must activate it.","Επιτυχής εγγραφή λογαριασμού. Ωστόσο, πριν χρησιμοποιήσετε τον λογαριασμό σας πρέπει να τον ενεργοποιήσετε."
We sent you an activation link at %s. Please check your email (also looking into spam folder) and click or access the activation link.,Σας στείλαμε έναν σύνδεσμο ενεργοποίησης στο %s. Παρακαλούμε ελέγξτε το email σας (ελέγξτε επίσης τον φάκελο ανεπιθύμητης αλληλογραφίας) και κάντε κλικ ή αποκτήστε πρόσβαση στον σύνδεσμο ενεργοποίησης.
Go to login page,Μετάβαση στη σελίδα σύνδεσης
Current Password,Τρέχον Κωδικός Πρόσβασης
New Password,Νέος Κωδικός
Password should be at least %s characters.,Ο κωδικός πρόσβασης πρέπει να αποτελείται από τουλάχιστον %s χαρακτήρες.
Password should pass regular expresion: ,Ο κωδικός πρόσβασης πρέπει να περάσει τον τακτικό εκφρασμένο:
Password should pass regular expresion: %s.,Ο κωδικός πρόσβασης πρέπει να περάσει τον τακτικό εκφρασμένο: %s.
Confirm Password,Επιβεβαίωση Κωδικού
Change password,Αλλαγή κωδικού πρόσβασης
Register an account,Καταχωρήστε έναν λογαριασμό
Confirm password,Επιβεβαίωση κωδικού πρόσβασης
Validation code,Κωδικός επικύρωσης
Register,Καταχώριση
Already have an account,Έχετε ήδη λογαριασμό
I just forgot my password,Απλά ξέχασα τον κωδικό πρόσβασής μου
NOT VERIFIED,ΜΗ ΕΠΙΒΕΒΑΙΩΜΕΝΟ
Send verification email,Αποστολή email επαλήθευσης
Email is %s,Το ηλεκτρονικό ταχυδρομείο είναι %s
VERIFIED,ΕΠΑΛΗΘΕΥΜΕΝΟ
"eg. Mr., Ms., Mrs., etc","π.χ. κ.κ., κα., κυα., κλπ."
First Name,Όνομα
Last Name,Επώνυμο
Phone Number,Αριθμός Τηλεφώνου
Limit emails received from platform,Περιορισμός email που λαμβάνονται από την πλατφόρμα
"Platform will minimize emails sent to you, however functionality emails will still be send to your email address (e.g. forgot password emails, change password emails, etc)","Η πλατφόρμα θα ελαχιστοποιήσει τα emails που στέλνονται σε εσάς, ωστόσο τα emails λειτουργικότητας θα εξακολουθούν να στέλνονται στη διεύθυνση email σας (π.χ. emails για ξεχασμένο κωδικό πρόσβασης, emails για αλλαγή κωδικού πρόσβασης, κλπ)."
Save Changes,Αποθήκευση Αλλαγών
Confirmation action failed,Η επιβεβαίωση της ενέργειας απέτυχε
there,εκεί
Action required for confirmation failed. This might happen because confirmation link expired. Please try again.,Απαιτείται ενέργεια για την επιβεβαίωση απέτυχε. Αυτό μπορεί να συμβεί επειδή ο σύνδεσμος επιβεβαίωσης έληξε. Παρακαλώ προσπαθήστε ξανά.
"In order to access your account, please open Google Authenticator on you device and provide the code in the input below.","Για να αποκτήσετε πρόσβαση στον λογαριασμό σας, ανοίξτε το Google Authenticator στη συσκευή σας και δώστε τον κωδικό στο πεδίο εισόδου παρακάτω."
Verification Code,Κωδικός Επαλήθευσης
Remember this device. Ask for a two factor authentication code only after %s of inactivity.,Να θυμάστε αυτή τη συσκευή. Ζητήστε έναν κωδικό επαλήθευσης δύο παραγόντων μόνο μετά από %s αδράνεια.
Check Code,Έλεγχος Κώδικα
"In case you lost your device or you don't have access to Google Authenticator, you can use one of your recovery codes below.","Σε περίπτωση που χάσετε τη συσκευή σας ή δεν έχετε πρόσβαση στο Google Authenticator, μπορείτε να χρησιμοποιήσετε έναν από τους κωδικούς ανάκτησης σας παρακάτω."
Use Recovery Code,Χρησιμοποιήστε τον κωδικό ανάκτησης
"In order to download your recovery codes, please provide a two factor authentication verification code first.","Για να κατεβάσετε τους κωδικούς ανάκτησής σας, παρακαλούμε προσφέρετε πρώτα έναν κωδικό επαλήθευσης διπλής παράγοντα ταυτοποίησης."
Recovery Code,Κωδικός Ανάκτησης
Check Recovery Code,Έλεγχος Κωδικού Ανάκτησης
Cancel Recovery Check,Ακύρωση Έλεγχου Ανάκτησης
