# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
DONE,FATTO
Failed activating all selected roles. Roles which failed activation are still selected. Please try again.,Impossibile attivare tutti i ruoli selezionati. I ruoli la cui attivazione non è riuscita sono ancora selezionati. Si prega di riprovare.
Required roles inactivated with success.,La richiesta della disattivazione dei ruoli è avvenuta con successo.
Inactivating selected roles failed. Please try again.,La disattivazione dei ruoli selezionati non è riuscita. Si prega di riprovare.
Failed inactivating all selected roles. Roles which failed inactivation are still selected. Please try again.,La disattivazione dei ruoli selezionati è fallita. I ruoli la cui disattivazione è fallita sono ancora selezionati. Si prega di riprovare.
Required roles deleted with success.,La richiesta dell'eliminazionde dei ruoli è avvenuta con successo.
Deleting selected roles failed. Please try again.,L'eliminazionde dei ruoli selezionati non è riuscita. Si prega di riprovare.
Failed deleting all selected roles. Roles which failed deletion are still selected. Please try again.,Impossibile eliminare i ruoli selezionati. I ruoli la cui eliminazione è fallita sono ancora selezionati. Si prega di riprovare.
Role activated with success.,Ruolo attivato con successo.
Activating role failed. Please try again.,Attivazione del ruolo non è riuscita. Si prega di riprovare.
Cannot activate role. Role not found.,Impossibile attivare il ruolo. Il ruolo non è stato trovato.
Role inactivated with success.,Ruolo disattivato con successo.
Inactivating role failed. Please try again.,LA disattivazione del ruolo non è riuscita. Si prega di riprovare.
Cannot inactivate role. Role not found.,Impossibile disattivare il ruolo. Il ruolo non è stato trovato.
Role deleted with success.,Il ruolo è stato eliminato con successo.
Deleting role failed. Please try again.,L'eliminazione del ruolo non è riuscita. Si prega di riprovare.
Cannot delete role. Role not found.,Impossibile eliminare il ruolo. Il ruolo non è stato trovato.
Edit role,Modifica del ruolo
Activate role,Attivare il ruolo
Inactivate role,Disattivare il ruolo
Delete role,Eliminare il ruolo
System logs,Log di sistema
You don't have rights to view system logs.,Non si dispone dei diritti per visualizzare i log di sistema.
Invalid log file for download.,File di log non valido per il download.
Cannot read provided log file data.,Non è possibile leggere i dati del file di log che sono stati forniti.
Add User,Aggiungi utente
You don't have rights to manage accounts.,Non si dispone dei diritti per gestire gli account.
User account created...,Account utente creato ...
Edit User,Modifica Utente
Invalid account...,Account non valido...
Account details saved in database.,Dettagli account salvati nel database.
Password fields don't match.,I campi per la password non corrispondono.
List Users,Elencare gli utenti
You don't have rights to create accounts.,Non si dispone dei diritti per creare gli account.
User account created.,L'account dell'utente è stato creato.
Account not found in database.,L'account non è stato trovato nel database.
user,utente
users,utenti
IDs,IDs
Comma separated ids,IDs separati dalla virgola
"eg. 1,2,3","ad es. 1,2,3"
Nickname,Nickname
Level,Livello
Last Login,Ultimo Accesso
Never,Mai
Required accounts activated with success.,La richiesta dell'attivazione degli accounts è avvenuta con successo.
Activating selected accounts failed. Please try again.,L'attivazione degli accounts selezionati non è riuscita. Si prega di riprovare.
Failed activating all selected accounts. Accounts which failed activation are still selected. Please try again.,Impossibile attivare tutti gli account selezionati. Gli accounts la cui attivazione è fallitasono ancora selezionati. Si prega di riprovare.
Required accounts inactivated with success.,La richiesta della disattivazione degli account è avvenuta con successo.
Inactivating selected accounts failed. Please try again.,La disattivazione degl accounts selezionati non è riuscita. Si prega di riprovare.
Failed inactivating all selected accounts. Accounts which failed inactivation are still selected. Please try again.,Impossibile disattivare tutti gli accounts selezionati. Gli accounts la cui disattivazione non è  riuscita sono ancora selezionati. Si prega di riprovare.
Required accounts deleted with success.,La richiesta dell'eliminazionde degli accounts è avvenuta con successo.
Deleting selected accounts failed. Please try again.,L'eliminazionde degli accounts selezionati è fallita. Si prega di riprovare.
Failed deleting all selected accounts. Accounts which failed deletion are still selected. Please try again.,Impossibile eliminare tutti gli accounts selezionati. Gli account la cui eliminazioneè falita sono ancora selezionati. Si prega di riprovare.
Logged in with success.,L'accesso è stato effettuato con successo.
Logging in as this account failed. Please try again.,L'accesso con questo account non è riuscito. Si prega di riprovare.
You don't have rights to login as this accounts.,Non si dispone dei diritti per accedere con questo account.
Cannot login as this account. Account not found.,Impossibile accedere a questo account. L'account non è stato trovato.
Account not active. Activate account first.,L'account non è attivo. Attiva l'account prima.
Account activated with success.,L'account è stato attivato con successo.
Activating account failed. Please try again.,L'attivazione dell'account non è riuscita. Si prega di riprovare.
Cannot activate account. Account not found.,Impossibile attivare l'account. L'account non è stato trovato.
Account inactivated with success.,L'account è stato disattivato con successo.
Inactivating account failed. Please try again.,La disattivazione dell'account non è riuscita. Si prega di riprovare.
Cannot inactivate account. Account not found.,Impossibile disattivare l'account. L'account non è stato trovato.
Account deleted with success.,L'account è stato eliminato con successo.
Deleting account failed. Please try again.,L'eliminazione dell'account non è riuscita. Si prega di riprovare.
Cannot delete account. Account not found.,Impossibile eliminare l'account. L'account non è stato trovato.
Change login to this account,Cambio del login per questo account.
Edit account,Modifica account
Activate account,Account attivato
Inactivate account,Account disattivato
Delete account,Account eliminato
Error loading accounts model.,Errore di caricamento del modello degli accounts.
You don't have enough rights to access this section...,Non si dispone dei diritti sufficienti per accedere a questa sezione...
Guests,Ospiti
Role used by non-logged visitors,Ruolo utilizzato dai visitatori non è stato registrato
Contact Us,Contattaci
Allow user to use contact us form,Consenti all'utente di utilizzare il modulo per contattarci
Allow user to use registration form,Consenti all'utente di utilizzare modulo di registrazione
Member accounts,Membro dell'account
Default functionality role (what normal members can do),Ruolo della funzionalità predefinita (ciò che i membri normali possono fare)
Admin accounts,Account dell'amministratore
Role assigned to admin accounts.,Ruolo assegnato agli account dell'amministratore.
Manage roles,Gestire i ruoli
Allow user to define or edit roles,Permette all'utente di definire o modificare i ruoli
List roles,Elencare ruoli
Allow user to view defined roles,Consenti all'utente di visualizzare i ruoli definiti
Manage plugins,Gestire i plugin
Allow user to manage plugins,Consenti all'utente di gestire i plugin
List plugins,Elencare plugin
Allow user to list plugins,Consenti all'utente di elencare i plugin
Manage agent jobs,Gestire i processi del responsabile
Allow user to manage agent jobs,Consenti all'utente di gestire le funzioni del responsabile
List agent jobs,Elencare le funzioni del responsabile
Allow user to list agent jobs,Consenti all'utente di elencare le funzioni del responsabile
View system logs,Visualizzare i log di sistema
Allow user to view system logs,Consenti all'utente di visualizzare i log di sistema
Manage accounts,Gestire gli accounts
Allow user to manage accounts,Consenti all'utente di gestire gli account
List accounts,Elencare accounts
Allow user to list accounts,Consenti all'utente di elencare gli accounts
Login sub-account,Accesso all'account secondario
Allow user to login as other user,Consenti all'utente di effettuare il login come un altro utente
"Only plugins, controllers and actions which support agent scope will be shown.","Solo i plugin, i controller e le azioni che sostengono l'obiettio del responsabile verranno mostrati ."
Controller,Controllore
Action,Azione
Handler should be unique as it will identify agent job.,Il gestore deve essere univoco dato che identificherà il processo del responsabile.
Job parameters,Funzioni del processo
This is a JSON string which will be decoded and passed as parameter to job execute method.,Questa è una stringa JSON che verrà decodificata e passata come parametro del processo del metodo execute.
Running interval,Intervallo di esecuzione
Once how many seconds should this job run. Minimum interval depends on interval set for _agent.php script to run in crontab.,Ogni quanti secondi questo processo dovrebbe funzionare. L'intervallo minimo dipende dal set di intervallo per _agent.php script per l'esecuzione in crontab.
seconds,secondi
Run asynchronous,Esecuzione asincrona
This agent job will stop agent from advancing to next job untill it is finished.,Questa funzionde del responsabile fermerà l'avanzamento del responsabile fino a quando il processo successivonon è finito.
Add job,Aggiungere una funzione
Back,Indietro
Edit job,Modifica la funzione
Welcome...,Benvenuto...
You are in admin section of %s site.,Sei nella sezione dell'amministratore di %s sito
Currently logged in %s - %s.,Attualmente loggato %s -%s.
Users Management,Gestione Utenti
Manage Users,Gestire gli utenti
Roles Management,Gestione dei ruoli
Manage Roles,Gestire i ruoli
Plugins Management,Gestione dei Plugin
List Plugins,Elencare i Plugin
Agent script,Script del responsabile
View logs,Visualizza i log
Settings for,Impostazioni per
Database version,Versione del database
Script version,Versione dello script
Please upgrade the plugin,Si prega di aggiornare il plugin
Selected module doesn't have any settings.,Il modulo selezionato non ha alcuna impostazione.
[Non-editable],[Non modificabile]
Render settings field call failed.,Tradurre le impostazioni del campo della chiamata non riuscita è fallita.
Not a key-value array...,Il key-value non è disponibile ...
Template file,Modello del file
From paths,Dai percorsi
Values array should be provided,I valori disponibili dovrebbero essere stati forniti
Save settings,Salvare le impostazioni
Cancel,Annullare
Plugin to check,Plugin per controllare
 - All plugins - ,- Tutti i plugin -
Integrity check,Controllo dell'integrità
Please wait...,Attendere prego...
Checking plugin integrity...,Controllo dell'integrità del plugin...
Sending request to server... Please wait.,Invio della richiesta al server... Attendere prego.
Checking integrity for plugin %s...,Controllo di integrità per il plugin %s ...
Checking integrity for ALL plugins...,Controllo dell'integrità per tutti i plugin...
Didn't find a valid value in plugins list to check integrity.,Non è stato trovato un valore valido nell'elenco plugin per il controllo dell'integrità.
Message deleted with success.,Messaggio cancellato con successo.
Error sending request to server. Please retry.,Errore di invio di richiesta al server. Si prega di riprovare.
Slug should be unique. Once role is defined you cannot change this slug.,Slug deve essere univoco. Una volta che il ruolo viene definito non è possibile modificare questo slug.
Description,Descrizione
Role Units,Unità di ruolo
Add role,Aggiungere il ruolo
Save changes,Salvare i cambiamenti
System Logs,Log di sistema
Log file,File di log
lines,linee
View file,Visualizza il file
Log file not provided or invalid.,File di log non previsto o non valido.
File name,Nome del file
File size,Dimensione del file
Download file,Download file
Displaying last %s lines from %s file.,Visualizzazione delle ultime %s righe dal %s file.
Log file returned empty buffer.,File di log restituisce il buffer vuoto.
Add User Account,Aggiungere un account all'utente
Create Account,Creare un account
Edit User Account,Modifica l'account dell'utente
Roles,Ruoli
Change roles,Cambia i ruoli
Complete password fields ony if you want to change password,Completare i campi della password solo se si desidera modificare la password
confirm,confermare
Close,Chiudere
Account Roles,Ruoli dell'account
No role assigned to this account.,Nessun ruolo assegnato a questo account.
