# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown error.,Άγνωστο σφάλμα.
Couldn't load roles model.,Αδυναμία φόρτωσης μοντέλου ρόλων.
API settings,Ρυθμίσεις API
Default theme in admin,Προεπιλεγμένο θέμα στον διαχειριστή
Should framework use default theme in admin section?,Θα πρέπει το πλαίσιο εργασίας να χρησιμοποιεί το προεπιλεγμένο θέμα στη διαχειριστική ενότητα;
Current theme as default,Τρέχον θέμα ως προεπιλογή
"If using default theme in admin section, should we set current theme as default (helps with loading resources from current theme if needed in admin interface)","Εάν χρησιμοποιείτε το προεπιλεγμένο θέμα στην ενότητα διαχειριστή, πρέπει να ορίσουμε το τρέχον θέμα ως προεπιλεγμένο (βοηθά στη φόρτωση πόρων από το τρέχον θέμα εάν χρειαστεί στη διεπαφή διαχειριστή)"
Language,Γλώσσα
Close,Κλείσιμο
seconds,δευτερόλεπτα
File,Αρχείο
Size,Μέγεθος
Log file,Αρχείο καταγραφής
Couldn't load required resources.,Αδυναμία φόρτωσης των απαιτούμενων πόρων.
No directory provided to save export data to or no rights to write in that directory.,Δεν παρέχεται κατάλογος για την αποθήκευση των δεδομένων εξαγωγής ή δεν υπάρχουν δικαιώματα εγγραφής σε αυτόν τον κατάλογο.
Couldn't create export file.,Αδυναμία δημιουργίας αρχείου εξαγωγής.
Headers already sent. Cannot send export file to browser.,Κεφαλίδες έχουν ήδη σταλεί. Δεν είναι δυνατή η αποστολή του αρχείου εξαγωγής στον περιηγητή.
Password changed,Ο κωδικός πρόσβασης άλλαξε
Changes saved to database.,Οι αλλαγές αποθηκεύτηκαν στη βάση δεδομένων.
Password should be at least %s characters.,Ο κωδικός πρόσβασης πρέπει να αποτελείται από τουλάχιστον %s χαρακτήρες.
Password should pass regular expresion: ,Ο κωδικός πρόσβασης πρέπει να περάσει τον τακτικό εκφρασμένο:
Password should pass regular expresion: %s.,Ο κωδικός πρόσβασης πρέπει να περάσει τον τακτικό εκφρασμένο: %s.
"eg. Mr., Ms., Mrs., etc","π.χ. κ.κ., κα., κυα., κλπ."
First Name,Όνομα
Last Name,Επώνυμο
Phone Number,Αριθμός Τηλεφώνου
Save Changes,Αποθήκευση Αλλαγών
Click for details,Κάντε κλικ για λεπτομέρειες
Invalid data retention policy.,Μη έγκυρη πολιτική διατήρησης δεδομένων.
Invalid data retention policy ids.,Μη έγκυρα αναγνωριστικά πολιτικής διατήρησης δεδομένων.
Error launching background job for data retention run.,Σφάλμα κατά την εκκίνηση φόντου εργασίας για την εκτέλεση διαδικασίας διατήρησης δεδομένων.
Invalid retention policy list.,Μη έγκυρη λίστα πολιτικής διατήρησης.
Data retention not found in database.,Η διατήρηση δεδομένων δεν βρέθηκε στη βάση δεδομένων.
Error running data retention migration.,Σφάλμα κατά την εκτέλεση της μεταφοράς διατήρησης δεδομένων.
Error while checking data retention existing table.,Σφάλμα κατά τον έλεγχο της διατήρησης δεδομένων υπάρχουσας πίνακα.
Error while checking data retention destination table.,Σφάλμα κατά τον έλεγχο του πίνακα προορισμού διατήρησης δεδομένων.
Data retention configuration is invalid.,Η διαμόρφωση διατήρησης δεδομένων δεν είναι έγκυρη.
Data retention record is invalid.,Η εγγραφή διατήρησης δεδομένων είναι μη έγκυρη.
Error loading data retention model.,Σφάλμα φόρτωσης μοντέλου διατήρησης δεδομένων.
Error setting up data retention model.,Σφάλμα κατά την ρύθμιση του μοντέλου διατήρησης δεδομένων.
Data retention details are invalid.,Λεπτομέρειες διατήρησης δεδομένων είναι μη έγκυρες.
Error moving records for data retention policy.,Σφάλμα κατά τη μετακίνηση εγγραφών για την πολιτική διατήρησης δεδομένων.
Error validating injected OpenAI settings.,Σφάλμα επικύρωσης των ρυθμίσεων OpenAI που έχουν εισαχθεί.
Please provide valid OpenAI settings.,Παρακαλώ παρέχετε έγκυρες ρυθμίσεις OpenAI.
Error decoding settings data.,Σφάλμα αποκωδικοποίησης δεδομένων ρυθμίσεων.
Error decoding settings from encrypted array.,Σφάλμα αποκωδικοποίησης ρυθμίσεων από κρυπτογραφημένο πίνακα.
Import JSON doesn't contain settngs for import..,Η εισαγωγή JSON δεν περιέχει ρυθμίσεις για εισαγωγή.
Error saving settings for plugin %s.,Σφάλμα κατά την αποθήκευση των ρυθμίσεων για το πρόσθετο %s.
Error decoding JSON buffer to array.,Σφάλμα αποκωδικοποίησης του buffer JSON σε πίνακα.
Error exporting plugin settings. No crypting key provided.,Σφάλμα εξαγωγής ρυθμίσεων προσθέτου. Δεν παρέχεται κλειδί κρυπτογράφησης.
Error encrypting plugin settings.,Σφάλμα κρυπτογράφησης ρυθμίσεων προσθέτου.
Invalid plugin provided.,Παρέχεται μη έγκυρο πρόσθετο.
Couldn't obtain plugin settings.,Αδυναμία λήψης ρυθμίσεων προσθέτου.
Couldn't obtain plugin's models settings.,Δεν ήταν δυνατή η λήψη των ρυθμίσεων μοντέλων του πρόσθετου.
Error instantiating plugin %s.,Σφάλμα κατά την αρχικοποίηση του προσθέτου %s.
Error saving models settings for plugin %s.,Σφάλμα κατά την αποθήκευση των ρυθμίσεων μοντέλων για το πρόσθετο %s.
"Error saving settings for model %s, plugin %s.","Σφάλμα κατά την αποθήκευση των ρυθμίσεων για το μοντέλο %s, το πρόσθετο %s."
Couldn't obtain plugin instance id.,Αδυναμία λήψης του αναγνωριστικού προσθέτου παράδειγμα.
Core,Πυρήνας
Couldn't instantiate model %s to extract settings.,Αδυναμία δημιουργίας προτύπου %s για την εξαγωγή ρυθμίσεων.
Couldn't initiate model %s to extract settings.,Αδυναμία εκκίνησης του μοντέλου %s για την εξαγωγή ρυθμίσεων.
Theme settings,Ρυθμίσεις θέματος
How should themes inheritance be used.,Πώς πρέπει να χρησιμοποιείται η κληρονομιά θεμάτων.
API CORS settings,Ρυθμίσεις API CORS
<strong>WARNING</strong>: High risk security settings! Change them if you know what you are doing!,<strong>ΠΡΟΕΙΔΟΠΟΙΗΣΗ</strong>: Ρυθμίσεις υψηλού κινδύνου ασφάλειας! Αλλάξτε τις αν ξέρετε τι κάνετε!
Allow CORS calls,Να επιτρέπονται κλήσεις CORS
Is platform accepting CORS calls? Usually front-end applications from other domains.,Δέχεται η πλατφόρμα κλήσεις CORS; Συνήθως εφαρμογές προσώπου από άλλους τομείς.
CORS Origin,Προέλευση CORS
"Comma separated domains from which platform accepts CORS calls. * - accept from all, empty - platform will send as origin what was sent in request (Access-Control-Allow-Origin)","Διαχωρισμένοι με κόμματα τομείς από τους οποίους η πλατφόρμα αποδέχεται κλήσεις CORS. * - αποδοχή από όλους, κενό - η πλατφόρμα θα στείλει ως προέλευση αυτό που στάλθηκε στο αίτημα (Access-Control-Allow-Origin)"
CORS Methods,Μέθοδοι CORS
"Comma separated HTTP methods which platform accepts for CORS calls. * - accept all methods, empty - doesn't respond with this header (Access-Control-Allow-Methods)","Διαχωρισμένες με κόμμα μέθοδοι HTTP που η πλατφόρμα δέχεται για κλήσεις CORS. * - δέχεται όλες τις μεθόδους, κενό - δεν απαντά με αυτή την κεφαλίδα (Access-Control-Allow-Methods)"
CORS Headers,Κεφαλίδες CORS
"Comma separated HTTP headers which platform accepts for CORS calls. * - accept all headers, empty - doesn't respond with this header (Access-Control-Allow-Headers)","Διαχωρισμένοι με κόμμα κεφαλίδες HTTP που η πλατφόρμα δέχεται για κλήσεις CORS. * - δέχεται όλες τις κεφαλίδες, κενό - δεν απαντά με αυτήν την κεφαλίδα (Access-Control-Allow-Headers)"
CORS Max Age (seconds),Μέγιστη Ηλικία CORS (δευτερόλεπτα)
Preflight requests can be cached. This represents how much time should a client cache OPTIONS response. -1 - do not send this header (Access-Control-Max-Age),Οι αιτήσεις προελέγχου μπορούν να αποθηκευτούν στη μνήμη cache. Αυτό αντιπροσωπεύει πόσο χρόνο θα πρέπει να αποθηκεύει ο πελάτης την απάντηση OPTIONS. -1 - μην στέλνετε αυτή την κεφαλίδα (Access-Control-Max-Age)
Settings related to REST API calls made to this platform.,Ρυθμίσεις που σχετίζονται με τις κλήσεις REST API που γίνονται σε αυτήν την πλατφόρμα.
Allow API calls,Επιτρέψτε κλήσεις API
Are API calls allowed to this platform?,Επιτρέπονται οι κλήσεις API σε αυτήν την πλατφόρμα;
Allow HTTP API calls,Να επιτρέπονται κλήσεις HTTP API
Allow API calls over HTTP? If this checkbox is not ticked only HTTPS calls will be accepted.,"Να επιτρέπονται οι κλήσεις API μέσω HTTP; Αν αυτό το πλαίσιο ελέγχου δεν είναι επιλεγμένο, θα γίνονται δεκτές μόνο κλήσεις HTTPS."
API calls WEB emulation,Κλήσεις API προσομοίωση Ιστού
Allow API calls to simulate a normal web call by interpreting JSON body as POST variables. (should send %s=1 as query parameter),Να επιτρέπονται οι κλήσεις του API να προσομοιώνουν μια κανονική κλήση στο web με την ερμηνεία του σώματος JSON ως μεταβλητές POST. (θα πρέπει να στείλει το %s=1 ως παράμετρο ερώτησης)
Allow bearer token authentication,Να επιτρέπεται η εξουσιοδότηση με διακριτικό φορέα
Allow API authentication using bearer token mechanism. To obtain bearer tokens 3rd party should call login script using API call and ask a bearer token in response.,"Να επιτρέπεται η πιστοποίηση του API χρησιμοποιώντας τον μηχανισμό bearer token. Για να λάβει ο τρίτος φορέας τα bearer tokens, θα πρέπει να καλέσει το σενάριο σύνδεσης χρησιμοποιώντας κλήση API και να ζητήσει έναν bearer token ως απάντηση."
Monitor incoming calls,Παρακολούθηση εισερχόμενων κλήσεων
Incoming API calls will be saved in a special monitoring table.,Οι εισερχόμενες κλήσεις API θα αποθηκεψουν σε μια ειδική πίνακα παρακολούθησης.
Monitor incoming CORS calls,Παρακολούθηση εισερχόμενων κλήσεων CORS
Should framework also log incoming CORS OPTIONS method calls?,Θα έπρεπε το πλαίσιο εργασίας επίσης να καταγράφει τις εισερχόμενες κλήσεις μεθόδου CORS OPTIONS;
Monitor outgoing API calls,Παρακολούθηση εξερχόμενων κλήσεων API
Gives option to programatically add outgoing calls to API monitoring report table.,Παρέχει τη δυνατότητα προγραμματικής προσθήκης εξερχόμενων κλήσεων στον πίνακα αναφοράς παρακολούθησης του API.
Log full request body,Καταγραφή πλήρους σώματος αιτήματος
Log full request body as JSON.,Καταγράψτε το πλήρες σώμα του αιτήματος ως JSON.
Log full response body,Καταγραφή πλήρους σώματος απάντησης
Log full response body as JSON.,Καταγράψτε το πλήρες σώμα απάντησης ως JSON.
GraphQL settings,Ρυθμίσεις GraphQL
Settings related to GraphQL calls made to this platform.,Ρυθμίσεις που σχετίζονται με τις κλήσεις GraphQL που γίνονται σε αυτήν την πλατφόρμα.
Allow GraphQL calls,Να επιτρέπονται κλήσεις GraphQL
Are GraphQL calls allowed to this platform?,Επιτρέπονται οι κλήσεις GraphQL σε αυτήν την πλατφόρμα;
Monitor GraphQL calls,Παρακολούθηση κλήσεων GraphQL
If GraphQL calls are monitored.,Εάν οι κλήσεις του GraphQL παρακολουθούνται.
Agent Jobs Settings,Ρυθμίσεις Εργασιών Πράκτορα
Settings related to agent jobs details on this platform.,Ρυθμίσεις που σχετίζονται με λεπτομέρειες των εργασιών πράκτορα σε αυτήν την πλατφόρμα.
Monitor agent jobs,Παρακολούθηση των εργασιών πράκτορα
"Monitor start, success or failure of agent jobs running on this platform","Παρακολούθηση έναρξης, επιτυχίας ή αποτυχίας των εργασιών πράκτορα που εκτελούνται σε αυτήν την πλατφόρμα"
Jobs allowance interval,Διάστημα επιδόματος εργασιών
"(seconds) When calculating next time agent job has to run, substract this time iterval. This should be big for slow servers. Crontab interval should be biger than this value!","(δευτερόλεπτα) Κατά τον υπολογισμό του επόμενου χρόνου που πρέπει να τρέξει το job του πράκτορα, αφαιρέστε αυτό το χρονικό διάστημα. Αυτό πρέπει να είναι μεγάλο για αργούς διακομιστές. Το διάστημα του Crontab πρέπει να είναι μεγαλύτερο από αυτήν την τιμή!"
System Logs Settings,Ρυθμίσεις Καταγραφής Συστήματος
Settings related to how system should handle logs,Ρυθμίσεις που σχετίζονται με τον τρόπο με τον οποίο το σύστημα πρέπει να χειρίζεται τα αρχεία καταγραφής
Data Retention Settings,Ρυθμίσεις Διατήρησης Δεδομένων
Settings related to data retention functionality,Ρυθμίσεις που σχετίζονται με τη λειτουργικότητα διατήρησης δεδομένων
AI Translations Settings,Ρυθμίσεις Μεταφράσεων Τεχνητής Νοημοσύνης
Settings related to AI translation functionality,Ρυθμίσεις που σχετίζονται με τη λειτουργικότητα μετάφρασης AI
UI Translations,Μεταφράσεις διεπαφής χρήστη
Unknown error occured.,Παρουσιάστηκε άγνωστο σφάλμα.
Invalid action provided.,Παρέχεται μη έγκυρη ενέργεια.
Error validating request.,Σφάλμα επικύρωσης αιτήματος.
Please provide a language for PO file.,Παρακαλώ καθορίστε μια γλώσσα για το αρχείο PO.
Error generating PO file.,Σφάλμα κατά τη δημιουργία του αρχείου PO.
Error starting UI translations background job.,Σφάλμα κατά την εκκίνηση της εργασίας φόντου μεταφράσεων του UI.
Error sending STOP request to UI translations background job.,Σφάλμα κατά την αποστολή αιτήματος ΔΙΑΚΟΠΗΣ στην εργασία φόντου μεταφράσεων του χρήστη.
Error obtaining PO format instance.,Σφάλμα κατά τη λήψη της μορφής της ΠΑ.
Error generating POT file.,Σφάλμα κατά τη δημιουργία του αρχείου POT.
Please provide a PO file.,Παρακαλώ παρέχετε ένα αρχείο PO.
Invalid language for provided PO file.,Μη έγκυρη γλώσσα για το παρεχόμενο αρχείο PO.
Error parsing PO file.,Σφάλμα κατά την ανάλυση του αρχείου PO.
Edit Role,Επεξεργασία Ρόλου
Invalid role...,Μη έγκυρος ρόλος...
Role details saved.,Λεπτομέρειες ρόλου αποθηκεύτηκαν.
Role details saved...,Λεπτομέρειες ρόλου αποθηκεύτηκαν...
Add Tenant,Προσθήκη Ενοικιαστή
Tenant details saved...,Λεπτομέρειες ενοικιαστή αποθηκεύτηκαν...
Manage Tenant's Plugins,Διαχείριση Προσθέτων Ενοικιαστή
Selected plugins activated with success.,Επιλεγμένα πρόσθετα ενεργοποιήθηκαν με επιτυχία.
Selected plugins inactivated with success.,Επιλεγμένα πρόσθετα απενεργοποιήθηκαν με επιτυχία.
Default,Προεπιλογή
Not Installed,Μη Εγκατεστημένο
Provided tenant is invalid.,Ο παρεχόμενος ενοικιαστής δεν είναι έγκυρος.
Please provide a list of plugins.,Παρακαλώ παρέχετε μια λίστα με τα πρόσθετα.
Error obtaining a list of framework plugins.,Σφάλμα κατά τη λήψη ενός καταλόγου με τα πρόσθετα του πλαισίου.
Cannot change status for plugin %s.,Δεν είναι δυνατή η αλλαγή κατάστασης για το πρόσθετο %s.
Error inactivating plugin %s on tenant %s.,Σφάλμα στην απενεργοποίηση του προσθέτου %s στον ενοικιαστή %s.
Error activating plugin %s on tenant %s.,Σφάλμα ενεργοποίησης προσθέτου %s στον ενοικιαστή %s.
Please provide a valid plugin id.,Παρακαλώ δώστε έναν έγκυρο αναγνωριστικό προσθέτου.
Unknown action in request.,Άγνωστη ενέργεια στο αίτημα.
Edit Tenant,Επεξεργασία Ενοικιαστή
Invalid tenant...,Μη έγκυρος ενοικιαστής...
Tenant details saved.,Λεπτομέρειες ενοικιαστή αποθηκεύτηκαν.
Tenants List,Λίστα Ενοικιαστών
tenant,ενοικιαστής
tenants,ενοικιαστές
Invalid tenant or tenant was not found in database.,Μη έγκυρος ενοικιαστής ή ο ενοικιαστής δεν βρέθηκε στη βάση δεδομένων.
Tenant details saved in database.,Λεπτομέρειες ενοικιαστή αποθηκεύτηκαν στη βάση δεδομένων.
All records containing this value,Όλες οι εγγραφές που περιέχουν αυτήν την τιμή
Domain,Τομέας
Directory,Κατάλογος
Identifier,Αναγνωριστικό
Required tenants activated with success.,Οι απαιτούμενοι ενοικιαστές ενεργοποιήθηκαν με επιτυχία.
Activating selected tenants failed. Please try again.,Η ενεργοποίηση των επιλεγμένων ενοικιαστών απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed activating all selected tenants. Tenants which failed activation are still selected. Please try again.,Αποτυχία ενεργοποίησης όλων των επιλεγμένων ενοικιαστών. Οι ενοικιαστές που απέτυχαν στην ενεργοποίηση παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required tenants inactivated with success.,Απαιτούμενοι ενοικιαστές απενεργοποιήθηκαν με επιτυχία.
Inactivating selected tenants failed. Please try again.,Η απενεργοποίηση επιλεγμένων ενοικιαστών απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed inactivating all selected tenants. Tenants which failed inactivation are still selected. Please try again.,Αποτυχία απενεργοποίησης όλων των επιλεγμένων ενοικιαστών. Οι ενοικιαστές που απέτυχαν στην απενεργοποίηση παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required tenants deleted with success.,Οι απαιτούμενοι ενοικιαστές διαγράφηκαν με επιτυχία.
Deleting selected tenants failed. Please try again.,Η διαγραφή των επιλεγμένων ενοικιαστών απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected tenants. Tenants which failed deletion are still selected. Please try again.,Απέτυχε η διαγραφή όλων των επιλεγμένων ενοικιαστών. Οι ενοικιαστές που απέτυχαν στη διαγραφή παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Tenant activated with success.,Ο ενοικιαστής ενεργοποιήθηκε με επιτυχία.
Activating tenant failed. Please try again.,Απέτυχε η ενεργοποίηση του ενοικιαστή. Παρακαλώ προσπαθήστε ξανά.
Cannot activate tenant. Tenant not found.,Αδυναμία ενεργοποίησης ενοικιαστή. Ο ενοικιαστής δεν βρέθηκε.
Tenant inactivated with success.,Ο ενοικιαστής απενεργοποιήθηκε με επιτυχία.
Inactivating tenant failed. Please try again.,Απέτυχε η απενεργοποίηση του ενοικιαστή. Παρακαλώ προσπαθήστε ξανά.
Cannot inactivate tenant. Tenant not found.,Αδυναμία απενεργοποίησης ενοικιαστή. Ο ενοικιαστής δεν βρέθηκε.
Tenant deleted with success.,Ο ενοικιαστής διαγράφηκε με επιτυχία.
Deleting tenant failed. Please try again.,Απέτυχε η διαγραφή ενοικιαστή. Παρακαλώ προσπαθήστε ξανά.
Cannot delete tenant. Tenant not found.,Αδυναμία διαγραφής ενοικιαστή. Ο ενοικιαστής δεν βρέθηκε.
Edit tenant,Επεξεργασία ενοικιαστή
Activate tenant,Ενεργοποίηση ενοικιαστή
Inactivate tenant,Απενεργοποίηση ενοικιαστή
Delete tenant,Διαγραφή ενοικιαστή
New Tenant,Νέος Ενοικιαστής
API Monitor Report,Αναφορά Παρακολούθησης Διεπαφής Προγραμματισμού Εφαρμογών
API call,Κλήση API
API calls,Κλήσεις API
External route,Εξωτερική διαδρομή
All records containing this value at title field,Όλες οι εγγραφές που περιέχουν αυτήν την τιμή στο πεδίο τίτλο
Internal route,Εσωτερική διαδρομή
All records containing this value at handler field,Όλες οι εγγραφές που περιέχουν αυτήν την τιμή στο πεδίο χειριστή
Method,Μέθοδος
All requests done with this method,Όλα τα αιτήματα γίνονται με αυτήν τη μέθοδο
Plugin,Πρόσθετο
All records containing this value at plugin field,Όλες οι εγγραφές που περιέχουν αυτήν την τιμή στο πεδίο του προσθέτου
Response code,Κωδικός απόκρισης
Requests From,Αιτήσεις Από
All HTTP requests run after this date,Όλα τα αιτήματα HTTP τρέχουν μετά από αυτήν την ημερομηνία
Requests after this date,Αιτήσεις μετά από αυτήν την ημερομηνία
Requests Up To,Αιτήσεις Έως Το
All HTTP requests run before this date,Όλα τα αιτήματα HTTP τρέχουν πριν από αυτήν την ημερομηνία
Requests before this date,Αιτήσεις πριν από αυτήν την ημερομηνία
External Route,Εξωτερική Διαδρομή
Internal Route,Εσωτερική Διαδρομή
Request,Αίτημα
Response,Απάντηση
HTTP Code,Κωδικός HTTP
API Monitoring Record Request,Αίτημα Καταγραφής Παρακολούθησης API
API Monitoring Record Response,Απάντηση Καταγραφής Παρακολούθησης API
API Monitoring Error Message,Μήνυμα Σφάλματος Παρακολούθησης API
Import Plugin Settings,Εισαγωγή Ρυθμίσεων Προσθέτου
Error decoding settings JSON string. Please try again.,Σφάλμα αποκωδικοποίησης της συμβολοσειράς JSON ρυθμίσεων. Παρακαλώ προσπαθήστε ξανά.
Error while importing the settings. Please try again.,Σφάλμα κατά την εισαγωγή των ρυθμίσεων. Παρακαλώ προσπαθήστε ξανά.
Plugin Settings,Ρυθμίσεις Προσθέτου
Error initializing plugin settings page.,Σφάλμα κατά την αρχικοποίηση της σελίδας ρυθμίσεων του προσθέτου.
Settings saved in database.,Οι ρυθμίσεις αποθηκεύτηκαν στη βάση δεδομένων.
Cannot save settings. Unknown instance.,Αδυναμία αποθήκευσης ρυθμίσεων. Άγνωστη περίπτωση.
Error saving settings in database. Please try again.,Σφάλμα κατά την αποθήκευση των ρυθμίσεων στη βάση δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Plugin ID is invalid or plugin was not found.,Το αναγνωριστικό του προσθέτου δεν είναι έγκυρο ή το πρόσθετο δεν βρέθηκε.
Plugins List,Λίστα Προσθέτων
plugin,πρόσθετο
plugins,πρόσθετα
Export settings for selected,Ρυθμίσεις εξαγωγής για την επιλεγμένη
Export settings for ALL,Ρυθμίσεις εξαγωγής για ΟΛΑ
Plugin Name,Όνομα Προσθήκης
All plugins for which name contains this value,Όλα τα πρόσθετα για τα οποία το όνομα περιέχει αυτήν την τιμή
Vendor,Προμηθευτής
All plugins from specified vendor,Όλα τα πρόσθετα από τον καθορισμένο προμηθευτή
Tenant,Ενοικιαστής
Version,Έκδοση
Installed / Script,Εγκατεστημένο / Σενάριο
Status Date,Ημερομηνία Κατάστασης
Required plugin settings exported with success.,Οι απαιτούμενες ρυθμίσεις προσθέτου εξήχθησαν με επιτυχία.
Exporting selected plugin settings failed. Please try again.,Απέτυχε η εξαγωγή των επιλεγμένων ρυθμίσεων προσθέτου. Παρακαλώ προσπαθήστε ξανά.
Failed exporting all selected plugin settings. Plugin settings which failed export are still selected. Please try again.,Απέτυχε η εξαγωγή όλων των επιλεγμένων ρυθμίσεων προσθέτου. Οι ρυθμίσεις προσθέτου που απέτυχαν στην εξαγωγή παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Crypting key not provided.,Κλειδί κρυπτογράφησης δεν παρέχεται.
Plugin installed with success.,Το πρόσθετο εγκαταστάθηκε με επιτυχία.
Installing plugin failed. Please try again.,Η εγκατάσταση του πρόσθετου απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Cannot install plugin. Invalid module ID.,Αδυναμία εγκατάστασης προσθέτου. Μη έγκυρο αναγνωριστικό μονάδας.
Couldn't instantiate plugin.,Αδυναμία δημιουργίας προσθέτου.
Plugin activated with success.,Το πρόσθετο ενεργοποιήθηκε με επιτυχία.
Activating plugin failed. Please try again.,Η ενεργοποίηση του πρόσθετου απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Cannot install plugin. Invalid plugin ID.,Αδυναμία εγκατάστασης προσθέτου. Μη έγκυρο αναγνωριστικό προσθέτου.
Plugin inactivated with success.,Το πρόσθετο απενεργοποιήθηκε με επιτυχία.
