# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown error.,Eroare necunoscută.
All records containing this value,Toate înregistrarile ce conţin această valoare
Domain,Domeniu
Directory,Director
Identifier,Identificator
Required tenants activated with success.,Locatarii necesari au fost activați cu succes.
Activating selected tenants failed. Please try again.,Activarea chiriașilor selectați a eșuat. Vă rugăm să încercați din nou.
Failed activating all selected tenants. Tenants which failed activation are still selected. Please try again.,Activarea tuturor chiriașilor selectați a eșuat. Chiriașii care nu au putut fi activați rămân selectați. Vă rugăm să încercați din nou.
Required tenants inactivated with success.,Chiriașii obligatorii au fost inactivați cu succes.
Inactivating selected tenants failed. Please try again.,Dezactivarea chiriașilor selectați a eșuat. Vă rugăm să încercați din nou.
Failed inactivating all selected tenants. Tenants which failed inactivation are still selected. Please try again.,Eșuare la dezactivarea tuturor chiriașilor selectați. Chiriașii care au eșuat în inactivare sunt încă selectați. Vă rugăm să încercați din nou.
Required tenants deleted with success.,Locatarii necesari au fost șterși cu succes.
Deleting selected tenants failed. Please try again.,Ștergerea chiriașilor selectați a eșuat. Vă rugăm să încercați din nou.
Failed deleting all selected tenants. Tenants which failed deletion are still selected. Please try again.,Ștergerea tuturor chiriașilor selectați a eșuat. Chiriașii care nu au putut fi șterși sunt încă selectați. Vă rugăm să încercați din nou.
Tenant activated with success.,Chiriaș activat cu succes.
Activating tenant failed. Please try again.,Activarea chiriașului a eșuat. Vă rugăm să încercați din nou.
Cannot activate tenant. Tenant not found.,Nu se poate activa chiriașul. Chiriașul nu a fost găsit.
Tenant inactivated with success.,Chiriașul a fost inactivat cu succes.
Inactivating tenant failed. Please try again.,Dezactivarea chiriașului a eșuat. Vă rugăm să încercați din nou.
Cannot inactivate tenant. Tenant not found.,Nu se poate inactiva chiriașul. Chiriașul nu a fost găsit.
Tenant deleted with success.,Chiriașul a fost șters cu succes.
Deleting tenant failed. Please try again.,Ștergerea chiriașului a eșuat. Vă rugăm să încercați din nou.
Cannot delete tenant. Tenant not found.,Nu se poate șterge chiriașul. Chiriașul nu a fost găsit.
Edit tenant,Editare tenant
Activate tenant,Activare tenant
Inactivate tenant,Inactivare tenant
Delete tenant,Şterge tenant
New Tenant,Tenant Nou
API Monitor Report,Raport Monitorizare API
API call,Cerere API
API calls,Cereri API
External route,Rută externă
All records containing this value at title field,Toate înregistrările ce conţin acest text in titlu
Internal route,Rută internă
All records containing this value at handler field,Toate înregistrările care conțin această valoare la câmpul handler
Method,Metodă
All requests done with this method,Toate cererile sunt efectuate cu acestă metodă
Plugin,Plugin
All records containing this value at plugin field,Toate înregistrările care conțin această valoare la câmpul plugin
Response code,Cod de răspuns
Requests From,Cereri De La
All HTTP requests run after this date,Toate cererile HTTP rulează după această dată
Requests after this date,Cereri după această dată
Requests Up To,Cereri până la
All HTTP requests run before this date,Toate cererile HTTP rulează înainte de această dată
Requests before this date,Cereri înainte de această dată
External Route,Rută Externă
Internal Route,Rută Internă
Request,Cerere
Response,Răspuns
HTTP Code,Cod HTTP
API Monitoring Record Request,Cerere Monitorizare API
API Monitoring Record Response,Răspuns Monitorizare API
API Monitoring Error Message,Mesaj de Eroare Monitorizare API
Import Plugin Settings,Importați Setările Modulului
Error decoding settings JSON string. Please try again.,Eroare la decodificarea șirului JSON de setări. Vă rugăm să încercați din nou.
Error while importing the settings. Please try again.,Eroare la importarea setărilor. Vă rugăm să încercați din nou.
Plugin Settings,Setări Pluginuri
Error initializing plugin settings page.,Eroare la inițializarea paginii cu setările de plugin.
Settings saved in database.,Setările salvate in baza de date.
Cannot save settings. Unknown instance.,Nu se pot salva setările. Instanță necunoscută.
Error saving settings in database. Please try again.,Eroare la salvarea setărilor în baza de date. Vă rugăm să încercați din nou.
Plugin ID is invalid or plugin was not found.,ID-ul modulului este invalid sau modulul nu a fost găsit.
Plugins List,Listă de Pluginuri
plugin,plugin
plugins,pluginuri
Export settings for selected,Export setări pt. selecţie
Export settings for ALL,Export setări pt. TOATE
Plugin Name,Nume Plugin
All plugins for which name contains this value,Toate modulele pentru care numele conține această valoare
Vendor,Vendor
All plugins from specified vendor,Toate modulele de la furnizorul specificat
Tenant,Chiriaș
Version,Versiune
Installed / Script,Instalat / Script
Status Date,Dată Status
Required plugin settings exported with success.,Setările pentru pluginurile cerute exportate cu succes.
Exporting selected plugin settings failed. Please try again.,Exportul de setări pentru pluginurile cerute nu a funcţionat. Încercați din nou.
Failed exporting all selected plugin settings. Plugin settings which failed export are still selected. Please try again.,Nu s-au exportat setările pentru toate pluginurile selectate. Pluginurile pentru care a eșuat exportul sunt încă selectate. Încercați din nou.
Crypting key not provided.,Cheia de criptare nu este furnizată.
Plugin installed with success.,Plugin instalat cu succes.
Installing plugin failed. Please try again.,Instalarea plugin-ului a eșuat. Vă rugăm să încercați din nou.
Cannot install plugin. Invalid module ID.,Nu se poate instala modulul. ID-ul modulului este invalid.
Couldn't instantiate plugin.,Nu s-a putut instanția modulul.
Plugin activated with success.,Plugin activat cu succes.
Activating plugin failed. Please try again.,Activarea plugin-ului a eșuat. Vă rugăm să încercați din nou.
Cannot install plugin. Invalid plugin ID.,Nu se poate instala modulul. ID-ul modulului este invalid.
Plugin inactivated with success.,Plugin dezactivat cu succes.
Inactivating plugin failed. Please try again.,Dezactivarea plugin-ului a eșuat. Vă rugăm să încercați din nou.
Cannot inactivate plugin. Invalid plugin ID.,Nu se poate inactiva modulul. ID-ul modulului este invalid.
Plugin upgraded with success.,Modulul a fost actualizat cu succes.
Upgrading plugin failed. Please try again.,Actualizarea plugin-ului a eșuat. Vă rugăm să încercați din nou.
Cannot upgrade plugin. Invalid plugin ID.,Nu se poate face upgrade la modulul plugin. ID-ul modulului este invalid.
Plugin uninstalled with success.,Plugin dezinstalat cu succes.
Uninstalling plugin failed. Please try again.,Dezinstalarea pluginului a eșuat. Vă rugăm să încercați din nou.
Cannot uninstall plugin. Invalid plugin ID.,Nu se poate dezinstala modulul. ID-ul modulului este invalid.
Cannot uninstall this plugin.,Nu se poate dezinstala acest modul.
Plugin deleted with success.,Plugin șters cu succes.
Deleting plugin failed. Please try again.,Ștergerea plugin-ului a eșuat. Vă rugăm să încercați din nou.
Cannot delete plugin. Invalid plugin ID.,Nu se poate șterge modulul. ID-ul modulului este invalid.
Cannot delete this plugin.,Nu se poate șterge acest modul.
%s models,%s modele
Install plugin,Instalare plugin
Uninstall plugin,Dezinstalează pluginul
Activate plugin,Activează pluginul
Upgrade plugin,Updatează pluginul
Plugin Registry,Regiștri de Plugin
Inactivate plugin,Inactivează pluginul
Delete plugin,Şterge pluginul
Export Plugins' Settings,Export Setări de Pluginuri
Export ALL Plugins' Settings,Exportați TOATE Setările Modulelor
Please provide a crypting key.,Precizaţi o cheie de criptare.
Crypting key length should be at least 64 characters length. Current length is %s characters.,Lungimea cheii de criptare ar trebui să fie de cel puțin 64 de caractere. Lungimea curentă este de %s caractere.
Exporting plugin settings...,Exportare setări plugin...
Crypt Key,Cheie de Criptare
Please provide a crypting key,Precizaţi o cheie de criptare
Min. 64 characters,Min. 64 caractere
"This crypt key will be used to encrypt plugins settings. Once you obtain the export file, make sure you keep this crypt key safe. It will be used when importing settings on other platforms. If you loose it, you will not be able to import any settings from exported file.","Această cheie de criptare va fi utilizată pentru a cripta setările pluginurilor. După ce obțineți fișierul de export, asigurați-vă că păstrați această cheie de criptare în siguranță. Aceasta va fi utilizată atunci când importați setările pe alte platforme. Dacă o pierdeți, nu veți mai putea importa nicio setare din fișierul exportat."
You can generate safe crypt keys here: %s,Puteţi genera chei de criptare sigure aici: %s
Export Settings,Exportă Setările
Provided plugin is not a multi-tenant plugin. Data will be saved on default tenant.,Pluginul furnizat nu este un plugin multi-locatar. Datele vor fi salvate pe locatarul implicit.
Registry data saved in database.,Detaliile regiștrilor salvate în baza de date.
Error saving registry data. Please try again.,Eroare la salvarea detaliilor regiștrilor în baza de date. Încercați din nou.
Migration not found in database.,Migrarea nu a fost găsită in baza de date.
Migrations List,Listă Migrări
Migration Scripts List,Listă Scripturi de Migrare
migration,migrare
migrations,migrări
Force run,Rulare forțată
All migrations from specific plugin name,Toate migrările de la un anumit nume de plugin
Plugin of the migration script,Modulul scriptului de migrare
Script,Script
Migrations with a specific filename,Migrații cu un nume de fișier specific
Migration filename contains,Numele fișierul de migrare conține
Run From,Rulează de la
All migration scripts run after this date,Toate scripturile de migrare rulează după această dată
Start date of the script after this date,Data de începere a scriptului după această dată
Run Up To,Rulează până
All migration scripts run before this date,Toate scripturile de migrare rulează înainte de această dată
Start date of the script before this date,Data de începere a scriptului înainte de această dată
Specific state,Status specific
Select only migration scripts in specific state,Selectează doar scripturile de migrație într-o anumită stare
Still running,Incă rulează
Finished running,Rulare terminată
With errors,Cu erori
At version,La versiunea
Last refresh,Ultima actualizare
Migration launched in a background script with success. Check maintenance.log to see the output.,Migrarea a fost lansată cu succes într-un script de background. Verificați maintenance.log pentru a vedea rezultatul.
Failed launching migration in a background script. Check maintenance.log to see any errors reported.,Eșuare la lansarea migrației într-un script de fundal. Verificați maintenance.log pentru a vedea orice erori raportate.
Migration script details not found in database.,Nu am găsit detaliile scriptului de migrare în baza de date.
Run migration again,Rulează migrarea din nou
System logs,Loguri sistem
Invalid log file for download.,Fișier de jurnal invalid pentru descărcare.
Cannot read provided log file data.,Nu se poate citi datele fișierului jurnal furnizat.
Agent Jobs Report,Raport Agent Joburi
agent job,agent job
agent jobs,agent joburi
Job title,Titlu job
Job handler,Identificator job
Error code,Cod eroare
Agent job error,Eroare job de agent
Add Agent Job,Adaugă Agent Job
Please provide a handler for this agent job.,Vă rugăm să furnizați un manipulator pentru această sarcină a agentului.
Agent job handler already exists. Pick another one.,Handlerul de sarcini al agentului există deja. Alegeți altul.
Job parameters doesn't look like a valid JSON string or JSON is empty.,Parametrii locului de muncă nu par a fi un șir JSON valid sau JSON-ul este gol.
"Invalid plugin, controller or action selected. Please select valid values from drop down list.","Plugin, controller sau acțiune invalidă selectată. Vă rugăm să selectați valori valide din lista derulantă."
"Couldn't compose a valid route using provided plugin, controller or action. Please select valid values from drop down list.","Nu s-a putut compune o rută validă folosind plugin-ul, controller-ul sau acțiunea furnizate. Vă rugăm să selectați valori valide din lista derulantă."
Please provide a valid running interval in seconds.,Vă rugăm să furnizați un interval de rulare valid în secunde.
Agent job details saved...,Detaliile jobului agentului au fost salvate...
Edit Agent Job,Editează Job de Agent
Invalid agent job...,Agent Job necunoscut...
Agent job details saved.,Detalii agent job salvate.
Manage Agent Jobs,Administrează Joburi de Agent
Agent Jobs,Agent Joburi
Invalid agent job or agent job was not found in database.,Job-ul agentului invalid sau job-ul agentului nu a fost găsit în baza de date.
Agent job details saved in database.,Detaliile locului de muncă al agentului salvate în baza de date.
Handler,Identificator
All records containing this value at route field,Toate înregistrările care conțin această valoare în câmpul rută
Next run,Lansarea următoare
Last action,Ultima acțiune
Required agent jobs activated with success.,Sarcinile agentului necesare au fost activate cu succes.
Activating selected agent jobs failed. Please try again.,Activarea joburilor agentului selectat a eșuat. Vă rugăm să încercați din nou.
Failed activating all selected agent jobs. Agent jobs which failed activation are still selected. Please try again.,Activarea tuturor joburilor de agent selectate a eșuat. Joburile de agent care au eșuat la activare sunt încă selectate. Vă rugăm să încercați din nou.
Required agent jobs inactivated with success.,Joburile agentului necesare au fost inactivate cu succes.
Inactivating selected agent jobs failed. Please try again.,Dezactivarea joburilor agentului selectat a eșuat. Vă rugăm să încercați din nou.
Failed inactivating all selected agent jobs. Agent jobs which failed inactivation are still selected. Please try again.,Eșuare la dezactivarea tuturor joburilor de agent selectate. Joburile de agent care au eșuat în dezactivare sunt încă selectate. Vă rugăm să încercați din nou.
Required agent jobs deleted with success.,Joburile agentului necesare au fost șterse cu succes.
Deleting selected agent jobs failed. Please try again.,Ștergerea joburilor agentului selectate a eșuat. Vă rugăm să încercați din nou.
Failed deleting all selected agent jobs. Agent jobs which failed deletion are still selected. Please try again.,Ștergerea tuturor joburilor de agent selectate a eșuat. Joburile de agent care nu au putut fi șterse rămân selectate. Vă rugăm să încercați din nou.
Agent job activated with success.,Job-ul agentului a fost activat cu succes.
Activating agent job failed. Please try again.,Activarea agentului a eșuat. Vă rugăm să încercați din nou.
Cannot activate agent job. Agent job not found in database.,Nu se poate activa sarcina agentului. Sarcina agentului nu a fost găsită în baza de date.
Agent job inactivated with success.,Jobul agentului a fost inactivat cu succes.
Inactivating agent job failed. Please try again.,Job-ul agentului de inactivare a eșuat. Vă rugăm să încercați din nou.
Cannot inactivate agent job. Agent job not found in database.,Nu se poate inactiva sarcina agentului. Sarcina agentului nu a fost găsită în baza de date.
Agent job started with success.,Job-ul agentului a început cu succes.
Running agent job failed. Please try again.,Execuția job-ului agentului a eșuat. Vă rugăm să încercați din nou.
Cannot run agent job. Agent job not found in database.,Nu se poate rula job-ul agentului. Job-ul agentului nu a fost găsit în baza de date.
Cannot instantiate agent class.,Nu se poate instanția clasa agentului.
Agent job deleted with success.,Jobul agentului a fost șters cu succes.
Deleting agent job failed. Please try again.,Ștergerea job-ului agentului a eșuat. Vă rugăm să încercați din nou.
Cannot delete address. Agent job not found in database.,Nu se poate șterge adresa. Jobul agentului nu a fost găsit în baza de date.
Stalling,Întârzie
Runs every %s,Rulează odată la %s
Stalling %s,Blocare %s
Edit agent job,Editare job de agent
Activate agent job,Activare sarcină agent
Inactivate agent job,Job de dezactivare a agentului
Manually run agent job,Rulați manual sarcina agentului
Delete agent job,Ștergeți sarcina agentului
Agent job last error,Ultima eroare agent job
Are you sure you want to activate this agent job?,Sunteți sigur că doriți să activați această sarcină a agentului?
